battery_id,brand,type,capacity_ah,voltage,derating_factor,price_NGN
Exulted_48V_20Ah_25,Exulted,Gel,20.0,48.0,0.84,889050
Blue Carbon_12V_290Ah_26,Blue Carbon,LiFePO4,290.0,12.0,0.83,93559
Multipower_12V_70Ah_27,Multipower,AGM,70.0,12.0,0.84,65571
Amaron Quanta_24V_270Ah_28,Amaron Quanta,Gel,270.0,24.0,0.82,463735
CWorth_24V_220Ah_29,CWorth,AGM,220.0,24.0,0.84,107567
Multipower_48V_200Ah_30,Multipower,Gel,200.0,48.0,0.83,132971
Exulted_12V_200Ah_31,Exulted,Gel,200.0,12.0,0.83,516386
CWorth_48V_100Ah_32,CWorth,Tubular,100.0,48.0,0.83,53097
Felicity_48V_200Ah_33,Felicity,LiFePO4,200.0,48.0,0.83,67062
Felicity_48V_230Ah_34,Felicity,Tubular,230.0,48.0,0.84,57940
Techfine_24V_200Ah_35,Techfine,LiFePO4,200.0,24.0,0.84,232874
Multipower_24V_190Ah_36,Multipower,AGM,190.0,24.0,0.82,52259
Blue Carbon_12V_70Ah_37,Blue Carbon,Gel,70.0,12.0,0.83,54444
Blue Carbon_24V_270Ah_38,Blue Carbon,AGM,270.0,24.0,0.83,130407
CWorth_24V_220Ah_39,CWorth,AGM,220.0,24.0,0.82,133129
Felicity_24V_30Ah_40,Felicity,Gel,30.0,24.0,0.84,51101
Blue Carbon_24V_40Ah_41,Blue Carbon,LiFePO4,40.0,24.0,0.83,130579
Blue Carbon_12V_30Ah_42,Blue Carbon,LiFePO4,30.0,12.0,0.82,93822
BSL_48V_80Ah_43,BSL,Tubular,80.0,48.0,0.83,391653
Felicity_48V_290Ah_44,Felicity,Gel,290.0,48.0,0.84,129491
Techfine_48V_150Ah_45,Techfine,Tubular,150.0,48.0,0.82,333810
Blue Carbon_24V_90Ah_46,Blue Carbon,LiFePO4,90.0,24.0,0.83,113280
Amaron Quanta_24V_60Ah_47,Amaron Quanta,Tubular,60.0,24.0,0.83,652302
Techfine_12V_70Ah_48,Techfine,LiFePO4,70.0,12.0,0.82,351042
BSL_48V_180Ah_49,BSL,AGM,180.0,48.0,0.83,198093
Luminous_48V_270Ah_50,Luminous,LiFePO4,270.0,48.0,0.83,393957
Blue Carbon_24V_240Ah_51,Blue Carbon,Tubular,240.0,24.0,0.83,114311
CWorth_24V_170Ah_52,CWorth,Tubular,170.0,24.0,0.85,60309
Multipower_24V_20Ah_53,Multipower,Gel,20.0,24.0,0.83,131840
Techfine_12V_80Ah_54,Techfine,LiFePO4,80.0,12.0,0.85,282338
Felicity_12V_30Ah_55,Felicity,Tubular,30.0,12.0,0.85,80555
Techfine_24V_280Ah_56,Techfine,LiFePO4,280.0,24.0,0.83,177967
Techfine_24V_260Ah_57,Techfine,LiFePO4,260.0,24.0,0.83,286210
Luminous_48V_220Ah_58,Luminous,AGM,220.0,48.0,0.84,154723
Felicity_12V_100Ah_59,Felicity,Gel,100.0,12.0,0.84,104705
Multipower_24V_250Ah_60,Multipower,AGM,250.0,24.0,0.83,110434
Techfine_12V_190Ah_61,Techfine,Tubular,190.0,12.0,0.85,336042
BSL_12V_140Ah_62,BSL,LiFePO4,140.0,12.0,0.85,156217
Multipower_24V_30Ah_63,Multipower,LiFePO4,30.0,24.0,0.83,75784
Blue Carbon_24V_100Ah_64,Blue Carbon,Gel,100.0,24.0,0.84,109143
Techfine_12V_230Ah_65,Techfine,LiFePO4,230.0,12.0,0.82,237185
Genus_12V_240Ah_66,Genus,LiFePO4,240.0,12.0,0.83,732015
Exulted_24V_250Ah_67,Exulted,LiFePO4,250.0,24.0,0.83,573758
Blue Carbon_48V_100Ah_68,Blue Carbon,AGM,100.0,48.0,0.84,114074
Luminous_48V_300Ah_69,Luminous,Tubular,300.0,48.0,0.84,245880
BYD_24V_90Ah_70,BYD,LiFePO4,90.0,24.0,0.83,745386
CWorth_24V_180Ah_71,CWorth,Tubular,180.0,24.0,0.84,121521
Amaron Quanta_48V_150Ah_72,Amaron Quanta,Gel,150.0,48.0,0.84,808766
Blue Carbon_24V_20Ah_73,Blue Carbon,AGM,20.0,24.0,0.84,104568
Growatt_48V_100Ah_74,Growatt,Gel,100.0,48.0,0.83,297027
BSL_48V_50Ah_75,BSL,AGM,50.0,48.0,0.84,184884
Techfine_12V_300Ah_76,Techfine,Gel,300.0,12.0,0.83,233847
Growatt_48V_210Ah_77,Growatt,Tubular,210.0,48.0,0.84,392590
Growatt_12V_120Ah_78,Growatt,AGM,120.0,12.0,0.83,156396
Blue Carbon_48V_140Ah_79,Blue Carbon,LiFePO4,140.0,48.0,0.84,81633
BSL_48V_240Ah_80,BSL,AGM,240.0,48.0,0.84,208769
Techfine_12V_120Ah_81,Techfine,AGM,120.0,12.0,0.83,386423
Growatt_12V_220Ah_82,Growatt,AGM,220.0,12.0,0.84,349139
Luminous_24V_110Ah_83,Luminous,LiFePO4,110.0,24.0,0.84,181491
Felicity_48V_270Ah_84,Felicity,Tubular,270.0,48.0,0.84,122078
Techfine_24V_230Ah_85,Techfine,LiFePO4,230.0,24.0,0.83,345270
Techfine_48V_210Ah_86,Techfine,AGM,210.0,48.0,0.84,180698
BSL_12V_120Ah_87,BSL,Gel,120.0,12.0,0.84,174336
CWorth_24V_120Ah_88,CWorth,Tubular,120.0,24.0,0.84,149681
Multipower_12V_20Ah_89,Multipower,Gel,20.0,12.0,0.84,74252
Techfine_24V_130Ah_90,Techfine,AGM,130.0,24.0,0.84,349251
Blue Carbon_24V_60Ah_91,Blue Carbon,Tubular,60.0,24.0,0.84,59254
Techfine_12V_270Ah_92,Techfine,AGM,270.0,12.0,0.83,339035
Amaron Quanta_24V_40Ah_93,Amaron Quanta,Gel,40.0,24.0,0.84,816424
Blue Carbon_48V_190Ah_94,Blue Carbon,LiFePO4,190.0,48.0,0.83,96140
Pylontech_12V_210Ah_95,Pylontech,Tubular,210.0,12.0,0.83,875275
CWorth_48V_260Ah_96,CWorth,Tubular,260.0,48.0,0.85,80209
CWorth_12V_170Ah_97,CWorth,Gel,170.0,12.0,0.84,115278
Amaron Quanta_24V_20Ah_98,Amaron Quanta,Tubular,20.0,24.0,0.82,801127
BYD_12V_120Ah_99,BYD,Gel,120.0,12.0,0.82,499967
Amaron Quanta_48V_160Ah_100,Amaron Quanta,LiFePO4,160.0,48.0,0.84,518555
Growatt_48V_150Ah_101,Growatt,Gel,150.0,48.0,0.82,300285
Techfine_48V_260Ah_102,Techfine,Gel,260.0,48.0,0.82,296991
Multipower_24V_200Ah_103,Multipower,Tubular,200.0,24.0,0.83,55407
Amaron Quanta_24V_240Ah_104,Amaron Quanta,Tubular,240.0,24.0,0.84,869157
Felicity_24V_270Ah_105,Felicity,LiFePO4,270.0,24.0,0.84,78654
Amaron Quanta_12V_280Ah_106,Amaron Quanta,AGM,280.0,12.0,0.85,503958
CWorth_12V_300Ah_107,CWorth,Gel,300.0,12.0,0.84,83917
Felicity_24V_230Ah_108,Felicity,LiFePO4,230.0,24.0,0.84,95883
Exulted_24V_160Ah_109,Exulted,LiFePO4,160.0,24.0,0.84,639429
Amaron Quanta_12V_90Ah_110,Amaron Quanta,LiFePO4,90.0,12.0,0.83,461532
Exulted_12V_20Ah_111,Exulted,AGM,20.0,12.0,0.84,674777
BSL_48V_300Ah_112,BSL,AGM,300.0,48.0,0.83,293234
Blue Carbon_12V_240Ah_113,Blue Carbon,AGM,240.0,12.0,0.84,108549
Techfine_12V_220Ah_114,Techfine,Gel,220.0,12.0,0.84,209026
Exulted_24V_20Ah_115,Exulted,AGM,20.0,24.0,0.83,724353
Felicity_24V_100Ah_116,Felicity,Gel,100.0,24.0,0.82,105518
Blue Carbon_24V_80Ah_117,Blue Carbon,Gel,80.0,24.0,0.84,125682
BSL_12V_220Ah_118,BSL,LiFePO4,220.0,12.0,0.84,340826
Growatt_12V_70Ah_119,Growatt,Gel,70.0,12.0,0.85,361720
Multipower_24V_80Ah_120,Multipower,LiFePO4,80.0,24.0,0.85,145767
Techfine_24V_60Ah_121,Techfine,Gel,60.0,24.0,0.83,256077
Genus_48V_180Ah_122,Genus,AGM,180.0,48.0,0.84,606901
Pylontech_12V_170Ah_123,Pylontech,Gel,170.0,12.0,0.83,513375
Multipower_48V_110Ah_124,Multipower,Tubular,110.0,48.0,0.84,61385
Multipower_48V_120Ah_125,Multipower,LiFePO4,120.0,48.0,0.83,102342
Multipower_24V_220Ah_126,Multipower,Tubular,220.0,24.0,0.83,59465
Luminous_48V_280Ah_127,Luminous,LiFePO4,280.0,48.0,0.84,388368
Multipower_24V_140Ah_128,Multipower,LiFePO4,140.0,24.0,0.84,104576
Luminous_24V_140Ah_129,Luminous,LiFePO4,140.0,24.0,0.83,227310
Blue Carbon_48V_200Ah_130,Blue Carbon,AGM,200.0,48.0,0.83,56571
Growatt_24V_250Ah_131,Growatt,AGM,250.0,24.0,0.85,379363
Growatt_24V_90Ah_132,Growatt,AGM,90.0,24.0,0.84,320593
BYD_48V_120Ah_133,BYD,Tubular,120.0,48.0,0.82,454444
CWorth_12V_130Ah_134,CWorth,Gel,130.0,12.0,0.84,90855
Multipower_48V_280Ah_135,Multipower,Tubular,280.0,48.0,0.83,68274
Felicity_12V_180Ah_136,Felicity,Tubular,180.0,12.0,0.85,117434
Techfine_12V_100Ah_137,Techfine,Gel,100.0,12.0,0.82,397985
Blue Carbon_12V_50Ah_138,Blue Carbon,LiFePO4,50.0,12.0,0.83,100398
CWorth_24V_210Ah_139,CWorth,AGM,210.0,24.0,0.83,92816
Amaron Quanta_48V_230Ah_140,Amaron Quanta,Tubular,230.0,48.0,0.84,453038
BYD_48V_120Ah_141,BYD,AGM,120.0,48.0,0.82,779967
Multipower_48V_160Ah_142,Multipower,Tubular,160.0,48.0,0.84,51899
Multipower_48V_60Ah_143,Multipower,Gel,60.0,48.0,0.84,76063
CWorth_48V_200Ah_144,CWorth,LiFePO4,200.0,48.0,0.83,71182
Growatt_12V_220Ah_145,Growatt,AGM,220.0,12.0,0.84,175039
Techfine_24V_170Ah_146,Techfine,LiFePO4,170.0,24.0,0.84,189011
Amaron Quanta_48V_40Ah_147,Amaron Quanta,Tubular,40.0,48.0,0.82,502320
Multipower_12V_210Ah_148,Multipower,AGM,210.0,12.0,0.83,92130
CWorth_24V_180Ah_149,CWorth,Tubular,180.0,24.0,0.84,65685
Exulted_12V_70Ah_150,Exulted,Tubular,70.0,12.0,0.82,883042
Exulted_12V_60Ah_151,Exulted,LiFePO4,60.0,12.0,0.83,481288
Felicity_24V_30Ah_152,Felicity,AGM,30.0,24.0,0.83,117301
Luminous_12V_80Ah_153,Luminous,Gel,80.0,12.0,0.84,382387
Genus_24V_250Ah_154,Genus,Tubular,250.0,24.0,0.83,700312
Techfine_12V_140Ah_155,Techfine,Tubular,140.0,12.0,0.82,291742
BYD_48V_120Ah_156,BYD,AGM,120.0,48.0,0.83,442814
Amaron Quanta_48V_110Ah_157,Amaron Quanta,Gel,110.0,48.0,0.85,757176
Pylontech_48V_300Ah_158,Pylontech,LiFePO4,300.0,48.0,0.84,897081
BYD_24V_110Ah_159,BYD,Tubular,110.0,24.0,0.83,669531
Multipower_24V_260Ah_160,Multipower,AGM,260.0,24.0,0.84,101113
Genus_48V_50Ah_161,Genus,AGM,50.0,48.0,0.82,690012
Genus_12V_100Ah_162,Genus,Gel,100.0,12.0,0.84,486419
Multipower_12V_210Ah_163,Multipower,LiFePO4,210.0,12.0,0.82,116728
Techfine_24V_80Ah_164,Techfine,Gel,80.0,24.0,0.83,353015
CWorth_48V_170Ah_165,CWorth,LiFePO4,170.0,48.0,0.83,50424
Techfine_48V_230Ah_166,Techfine,AGM,230.0,48.0,0.82,377202
CWorth_24V_120Ah_167,CWorth,LiFePO4,120.0,24.0,0.82,98917
Felicity_12V_160Ah_168,Felicity,Gel,160.0,12.0,0.83,120104
Blue Carbon_24V_250Ah_169,Blue Carbon,AGM,250.0,24.0,0.83,101720
Techfine_12V_190Ah_170,Techfine,LiFePO4,190.0,12.0,0.83,343274
Techfine_48V_200Ah_171,Techfine,Gel,200.0,48.0,0.84,216155
Blue Carbon_24V_290Ah_172,Blue Carbon,Gel,290.0,24.0,0.85,102262
Luminous_24V_30Ah_173,Luminous,AGM,30.0,24.0,0.83,274587
Multipower_48V_200Ah_174,Multipower,LiFePO4,200.0,48.0,0.83,89144
Pylontech_48V_50Ah_175,Pylontech,Gel,50.0,48.0,0.84,819507
Multipower_12V_180Ah_176,Multipower,LiFePO4,180.0,12.0,0.83,108824
Genus_48V_30Ah_177,Genus,Gel,30.0,48.0,0.84,719106
Growatt_24V_110Ah_178,Growatt,Tubular,110.0,24.0,0.83,192982
Multipower_48V_150Ah_179,Multipower,LiFePO4,150.0,48.0,0.84,76332
Exulted_24V_160Ah_180,Exulted,Tubular,160.0,24.0,0.84,724589
Techfine_12V_280Ah_181,Techfine,LiFePO4,280.0,12.0,0.83,336757
Amaron Quanta_48V_210Ah_182,Amaron Quanta,LiFePO4,210.0,48.0,0.83,802222
BSL_48V_80Ah_183,BSL,AGM,80.0,48.0,0.83,284688
Techfine_12V_90Ah_184,Techfine,AGM,90.0,12.0,0.84,370930
Genus_24V_160Ah_185,Genus,LiFePO4,160.0,24.0,0.84,496489
Growatt_12V_100Ah_186,Growatt,Tubular,100.0,12.0,0.83,262190
BYD_24V_100Ah_187,BYD,AGM,100.0,24.0,0.84,763409
BYD_12V_70Ah_188,BYD,LiFePO4,70.0,12.0,0.83,853479
Amaron Quanta_24V_230Ah_189,Amaron Quanta,AGM,230.0,24.0,0.82,643296
Multipower_24V_70Ah_190,Multipower,Gel,70.0,24.0,0.84,121817
Felicity_48V_120Ah_191,Felicity,Gel,120.0,48.0,0.83,70398
Pylontech_12V_190Ah_192,Pylontech,Gel,190.0,12.0,0.83,851115
Multipower_24V_80Ah_193,Multipower,AGM,80.0,24.0,0.83,56275
Pylontech_24V_160Ah_194,Pylontech,LiFePO4,160.0,24.0,0.85,539846
Growatt_12V_290Ah_195,Growatt,Tubular,290.0,12.0,0.82,270694
Exulted_48V_200Ah_196,Exulted,Tubular,200.0,48.0,0.85,664601
Genus_48V_180Ah_197,Genus,AGM,180.0,48.0,0.85,819484
Luminous_24V_140Ah_198,Luminous,AGM,140.0,24.0,0.84,379302
Amaron Quanta_12V_210Ah_199,Amaron Quanta,LiFePO4,210.0,12.0,0.84,418712
Amaron Quanta_12V_170Ah_200,Amaron Quanta,Gel,170.0,12.0,0.84,732708
CWorth_24V_200Ah_201,CWorth,Gel,200.0,24.0,0.83,100162
Growatt_12V_210Ah_202,Growatt,Gel,210.0,12.0,0.83,210575
Felicity_48V_160Ah_203,Felicity,LiFePO4,160.0,48.0,0.82,74013
Blue Carbon_48V_40Ah_204,Blue Carbon,Tubular,40.0,48.0,0.83,135849
Techfine_12V_210Ah_205,Techfine,Gel,210.0,12.0,0.82,157881
Felicity_48V_260Ah_206,Felicity,Tubular,260.0,48.0,0.84,102911
Felicity_48V_50Ah_207,Felicity,AGM,50.0,48.0,0.83,95034
Felicity_12V_220Ah_208,Felicity,AGM,220.0,12.0,0.83,54348
Blue Carbon_24V_230Ah_209,Blue Carbon,LiFePO4,230.0,24.0,0.85,140901
BSL_48V_190Ah_210,BSL,Tubular,190.0,48.0,0.82,292130
BSL_48V_260Ah_211,BSL,Tubular,260.0,48.0,0.83,168294
Growatt_48V_80Ah_212,Growatt,Tubular,80.0,48.0,0.83,347710
Blue Carbon_24V_230Ah_213,Blue Carbon,LiFePO4,230.0,24.0,0.85,125053
BSL_12V_100Ah_214,BSL,Gel,100.0,12.0,0.85,278115
Exulted_24V_280Ah_215,Exulted,Tubular,280.0,24.0,0.82,707925
Luminous_48V_120Ah_216,Luminous,Gel,120.0,48.0,0.83,365890
Growatt_24V_130Ah_217,Growatt,Gel,130.0,24.0,0.83,388972
BYD_24V_30Ah_218,BYD,Tubular,30.0,24.0,0.84,886034
Growatt_24V_280Ah_219,Growatt,Gel,280.0,24.0,0.84,343164
Blue Carbon_12V_110Ah_220,Blue Carbon,Tubular,110.0,12.0,0.85,69240
Exulted_24V_270Ah_221,Exulted,Tubular,270.0,24.0,0.84,400536
Growatt_24V_20Ah_222,Growatt,AGM,20.0,24.0,0.84,255621
BYD_48V_160Ah_223,BYD,LiFePO4,160.0,48.0,0.85,524133
Growatt_24V_80Ah_224,Growatt,AGM,80.0,24.0,0.83,354712
Blue Carbon_48V_220Ah_225,Blue Carbon,Tubular,220.0,48.0,0.85,137389
Felicity_24V_40Ah_226,Felicity,Tubular,40.0,24.0,0.84,116123
Blue Carbon_48V_50Ah_227,Blue Carbon,AGM,50.0,48.0,0.83,56035
Multipower_12V_130Ah_228,Multipower,Gel,130.0,12.0,0.84,98664
Exulted_48V_30Ah_229,Exulted,Tubular,30.0,48.0,0.83,784690
BYD_12V_60Ah_230,BYD,Tubular,60.0,12.0,0.83,620945
Felicity_48V_120Ah_231,Felicity,LiFePO4,120.0,48.0,0.82,125484
Luminous_12V_100Ah_232,Luminous,Gel,100.0,12.0,0.84,278771
BYD_12V_180Ah_233,BYD,LiFePO4,180.0,12.0,0.83,859784
Multipower_12V_240Ah_234,Multipower,LiFePO4,240.0,12.0,0.82,134407
Growatt_24V_140Ah_235,Growatt,Gel,140.0,24.0,0.83,251768
Multipower_24V_20Ah_236,Multipower,Gel,20.0,24.0,0.83,68835
Multipower_24V_110Ah_237,Multipower,AGM,110.0,24.0,0.82,146306
Multipower_24V_220Ah_238,Multipower,Gel,220.0,24.0,0.84,121688
Multipower_12V_150Ah_239,Multipower,Tubular,150.0,12.0,0.83,134807
Techfine_12V_130Ah_240,Techfine,Gel,130.0,12.0,0.83,199651
Multipower_48V_300Ah_241,Multipower,Gel,300.0,48.0,0.84,52316
Luminous_12V_100Ah_242,Luminous,AGM,100.0,12.0,0.85,188838
Techfine_48V_240Ah_243,Techfine,Gel,240.0,48.0,0.82,261691
Techfine_48V_260Ah_244,Techfine,Gel,260.0,48.0,0.83,230968
Growatt_48V_280Ah_245,Growatt,Gel,280.0,48.0,0.83,202286
Techfine_48V_200Ah_246,Techfine,Tubular,200.0,48.0,0.82,338436
Techfine_12V_160Ah_247,Techfine,LiFePO4,160.0,12.0,0.82,245168
Multipower_48V_270Ah_248,Multipower,Tubular,270.0,48.0,0.82,60313
Techfine_24V_40Ah_249,Techfine,Tubular,40.0,24.0,0.83,390004
Luminous_48V_140Ah_250,Luminous,AGM,140.0,48.0,0.84,274769
Techfine_48V_120Ah_251,Techfine,Tubular,120.0,48.0,0.83,343572
BSL_24V_150Ah_252,BSL,Gel,150.0,24.0,0.84,169302
Felicity_48V_80Ah_253,Felicity,AGM,80.0,48.0,0.82,138184
Amaron Quanta_48V_170Ah_254,Amaron Quanta,AGM,170.0,48.0,0.84,899974
BSL_48V_190Ah_255,BSL,Tubular,190.0,48.0,0.83,229890
Luminous_48V_300Ah_256,Luminous,AGM,300.0,48.0,0.85,291182
CWorth_48V_160Ah_257,CWorth,LiFePO4,160.0,48.0,0.83,130640
Luminous_48V_270Ah_258,Luminous,LiFePO4,270.0,48.0,0.84,366579
Exulted_12V_30Ah_259,Exulted,AGM,30.0,12.0,0.84,424066
Amaron Quanta_24V_60Ah_260,Amaron Quanta,LiFePO4,60.0,24.0,0.83,666951
Blue Carbon_48V_140Ah_261,Blue Carbon,Tubular,140.0,48.0,0.82,119974
Felicity_24V_120Ah_262,Felicity,Gel,120.0,24.0,0.84,94263
Blue Carbon_24V_250Ah_263,Blue Carbon,Tubular,250.0,24.0,0.83,65077
CWorth_24V_190Ah_264,CWorth,AGM,190.0,24.0,0.85,89978
Genus_24V_230Ah_265,Genus,LiFePO4,230.0,24.0,0.85,492354
Blue Carbon_48V_290Ah_266,Blue Carbon,Gel,290.0,48.0,0.84,101590
Exulted_12V_280Ah_267,Exulted,Gel,280.0,12.0,0.83,833133
Multipower_12V_20Ah_268,Multipower,Gel,20.0,12.0,0.84,138899
BSL_48V_160Ah_269,BSL,AGM,160.0,48.0,0.84,399661
BSL_48V_120Ah_270,BSL,AGM,120.0,48.0,0.83,150126
BSL_24V_280Ah_271,BSL,Gel,280.0,24.0,0.85,317166
CWorth_12V_50Ah_272,CWorth,Tubular,50.0,12.0,0.82,73978
Techfine_48V_250Ah_273,Techfine,Gel,250.0,48.0,0.85,204885
Blue Carbon_12V_30Ah_274,Blue Carbon,Gel,30.0,12.0,0.83,139137
Blue Carbon_48V_270Ah_275,Blue Carbon,Tubular,270.0,48.0,0.82,99366
Multipower_12V_120Ah_276,Multipower,Tubular,120.0,12.0,0.85,105107
Amaron Quanta_48V_90Ah_277,Amaron Quanta,AGM,90.0,48.0,0.85,593894
Pylontech_48V_130Ah_278,Pylontech,Tubular,130.0,48.0,0.83,426956
CWorth_24V_240Ah_279,CWorth,Gel,240.0,24.0,0.83,53324
Techfine_12V_160Ah_280,Techfine,Gel,160.0,12.0,0.84,280178
Techfine_24V_250Ah_281,Techfine,Gel,250.0,24.0,0.84,347621
Multipower_48V_180Ah_282,Multipower,Gel,180.0,48.0,0.84,107224
Felicity_48V_20Ah_283,Felicity,LiFePO4,20.0,48.0,0.84,123506
Luminous_48V_50Ah_284,Luminous,Tubular,50.0,48.0,0.82,335547
Growatt_48V_130Ah_285,Growatt,Tubular,130.0,48.0,0.85,335664
Techfine_12V_260Ah_286,Techfine,LiFePO4,260.0,12.0,0.84,275289
Multipower_24V_200Ah_287,Multipower,LiFePO4,200.0,24.0,0.83,148761
Pylontech_24V_110Ah_288,Pylontech,AGM,110.0,24.0,0.83,517285
BYD_48V_240Ah_289,BYD,LiFePO4,240.0,48.0,0.82,597631
Genus_24V_230Ah_290,Genus,LiFePO4,230.0,24.0,0.83,533309
BYD_48V_110Ah_291,BYD,AGM,110.0,48.0,0.85,434350
Multipower_12V_210Ah_292,Multipower,LiFePO4,210.0,12.0,0.82,54022
Felicity_12V_20Ah_293,Felicity,LiFePO4,20.0,12.0,0.83,97690
Felicity_24V_70Ah_294,Felicity,AGM,70.0,24.0,0.84,127770
CWorth_12V_70Ah_295,CWorth,LiFePO4,70.0,12.0,0.84,133530
Techfine_48V_180Ah_296,Techfine,AGM,180.0,48.0,0.82,369475
Techfine_24V_210Ah_297,Techfine,AGM,210.0,24.0,0.84,206702
Pylontech_24V_220Ah_298,Pylontech,Tubular,220.0,24.0,0.83,777059
Blue Carbon_24V_230Ah_299,Blue Carbon,AGM,230.0,24.0,0.83,85488
Amaron Quanta_48V_250Ah_300,Amaron Quanta,Gel,250.0,48.0,0.83,850412
Amaron Quanta_48V_180Ah_301,Amaron Quanta,LiFePO4,180.0,48.0,0.83,525117
BSL_48V_20Ah_302,BSL,Tubular,20.0,48.0,0.82,310470
Growatt_48V_80Ah_303,Growatt,AGM,80.0,48.0,0.83,285682
Techfine_24V_160Ah_304,Techfine,Gel,160.0,24.0,0.84,330408
CWorth_12V_240Ah_305,CWorth,Tubular,240.0,12.0,0.84,125273
Growatt_48V_230Ah_306,Growatt,AGM,230.0,48.0,0.85,187769
Felicity_48V_110Ah_307,Felicity,Gel,110.0,48.0,0.83,122357
Amaron Quanta_24V_190Ah_308,Amaron Quanta,Tubular,190.0,24.0,0.85,455077
CWorth_24V_280Ah_309,CWorth,Gel,280.0,24.0,0.85,93978
Luminous_24V_180Ah_310,Luminous,Gel,180.0,24.0,0.84,189556
CWorth_24V_260Ah_311,CWorth,Tubular,260.0,24.0,0.82,148772
Techfine_24V_60Ah_312,Techfine,AGM,60.0,24.0,0.83,259905
CWorth_12V_80Ah_313,CWorth,Gel,80.0,12.0,0.83,118410
Multipower_24V_70Ah_314,Multipower,Tubular,70.0,24.0,0.84,147579
Multipower_12V_140Ah_315,Multipower,Tubular,140.0,12.0,0.85,59605
Techfine_12V_200Ah_316,Techfine,Tubular,200.0,12.0,0.82,162107
Blue Carbon_48V_200Ah_317,Blue Carbon,AGM,200.0,48.0,0.83,133900
Luminous_48V_80Ah_318,Luminous,LiFePO4,80.0,48.0,0.82,228268
Growatt_48V_300Ah_319,Growatt,Gel,300.0,48.0,0.85,330809
Blue Carbon_48V_150Ah_320,Blue Carbon,AGM,150.0,48.0,0.83,53002
CWorth_12V_80Ah_321,CWorth,AGM,80.0,12.0,0.85,120135
BYD_24V_30Ah_322,BYD,AGM,30.0,24.0,0.83,477448
Blue Carbon_48V_210Ah_323,Blue Carbon,Gel,210.0,48.0,0.84,51412
Techfine_24V_200Ah_324,Techfine,Tubular,200.0,24.0,0.84,226100
CWorth_12V_130Ah_325,CWorth,AGM,130.0,12.0,0.83,109254
Pylontech_48V_160Ah_326,Pylontech,LiFePO4,160.0,48.0,0.83,769635
Felicity_48V_80Ah_327,Felicity,LiFePO4,80.0,48.0,0.84,65234
Growatt_48V_30Ah_328,Growatt,Gel,30.0,48.0,0.83,237987
Genus_12V_180Ah_329,Genus,LiFePO4,180.0,12.0,0.84,406811
CWorth_24V_30Ah_330,CWorth,Gel,30.0,24.0,0.84,96899
Multipower_12V_280Ah_331,Multipower,AGM,280.0,12.0,0.84,69193
BSL_24V_120Ah_332,BSL,Tubular,120.0,24.0,0.82,178006
Blue Carbon_24V_160Ah_333,Blue Carbon,Tubular,160.0,24.0,0.83,120035
Multipower_48V_230Ah_334,Multipower,Gel,230.0,48.0,0.84,95064
Exulted_24V_60Ah_335,Exulted,AGM,60.0,24.0,0.84,729586
Amaron Quanta_12V_60Ah_336,Amaron Quanta,AGM,60.0,12.0,0.85,737350
Blue Carbon_48V_130Ah_337,Blue Carbon,Gel,130.0,48.0,0.84,91886
BSL_24V_90Ah_338,BSL,LiFePO4,90.0,24.0,0.83,211036
