inverter_id,brand,rated_power_w,voltage_input,voltage_output,mode,derating_factor,price_NGN
Huawei_2900W_86,Huawei,2900.0,240.0,220.0,Off-Grid,0.9,394534
Kartel Solar_6400W_87,Kartel Solar,6400.0,12.0,220.0,Off-Grid,0.88,199570
Blue Gate_8100W_88,Blue Gate,8100.0,48.0,220.0,Battery-Based,0.89,297017
PRAG_10450W_89,PRAG,10450.0,12.0,220.0,Multifunction,0.9,579590
Victron Energy_6100W_90,Victron Energy,6100.0,12.0,220.0,Off-Grid,0.87,729029
Kartel Solar_11950W_91,Kartel Solar,11950.0,12.0,220.0,Off-Grid,0.89,548758
Fronius_15950W_92,Fronius,15950.0,12.0,220.0,Off-Grid,0.89,2066344
Techfine_15150W_93,Techfine,15150.0,12.0,220.0,Hybrid,0.91,1468023
Blue Gate_4850W_94,Blue Gate,4850.0,96.0,220.0,Multifunction,0.88,283485
Growatt_11600W_95,Growatt,11600.0,48.0,220.0,Multifunction,0.9,992416
Felicity Solar_16750W_96,Felicity Solar,16750.0,96.0,220.0,Hybrid,0.89,731539
Growatt_18200W_97,Growatt,18200.0,48.0,220.0,Multifunction,0.88,1676129
Techfine_4300W_98,Techfine,4300.0,12.0,220.0,Grid-Tie,0.89,429937
Growatt_15900W_99,Growatt,15900.0,12.0,220.0,Multifunction,0.91,1306617
PRAG_2950W_100,PRAG,2950.0,24.0,220.0,Grid-Tie,0.89,140281
Blue Gate_15200W_101,Blue Gate,15200.0,96.0,220.0,Hybrid,0.92,790908
SMA_15200W_102,SMA,15200.0,24.0,220.0,Multifunction,0.88,1774776
Blue Gate_700W_103,Blue Gate,700.0,240.0,220.0,Hybrid,0.91,28178
Huawei_6150W_104,Huawei,6150.0,96.0,220.0,Off-Grid,0.91,816068
Growatt_4350W_105,Growatt,4350.0,24.0,220.0,Multifunction,0.88,433279
Kartel Solar_12400W_106,Kartel Solar,12400.0,24.0,220.0,Hybrid,0.9,681466
PRAG_18550W_107,PRAG,18550.0,240.0,220.0,Battery-Based,0.89,703356
Blue Gate_11550W_108,Blue Gate,11550.0,12.0,220.0,Multifunction,0.88,426940
Felicity Solar_9450W_109,Felicity Solar,9450.0,96.0,220.0,Hybrid,0.9,462529
PRAG_5000W_110,PRAG,5000.0,24.0,220.0,Hybrid,0.89,238640
Growatt_6800W_111,Growatt,6800.0,12.0,220.0,Grid-Tie,0.9,551993
Huawei_7600W_112,Huawei,7600.0,12.0,220.0,Off-Grid,0.9,1119831
Protonix Fortuner_12450W_113,Protonix Fortuner,12450.0,240.0,220.0,Off-Grid,0.91,1216035
Felicity Solar_17250W_114,Felicity Solar,17250.0,240.0,220.0,Off-Grid,0.88,647785
SMA_15900W_115,SMA,15900.0,240.0,220.0,Off-Grid,0.89,1958930
Techfine_6450W_116,Techfine,6450.0,240.0,220.0,Battery-Based,0.88,617312
Felicity Solar_13400W_117,Felicity Solar,13400.0,48.0,220.0,Hybrid,0.9,743160
SMA_1750W_118,SMA,1750.0,240.0,220.0,Multifunction,0.88,252353
Fronius_13900W_119,Fronius,13900.0,48.0,220.0,Grid-Tie,0.9,1956130
Victron Energy_5750W_120,Victron Energy,5750.0,12.0,220.0,Multifunction,0.9,726828
Growatt_650W_121,Growatt,650.0,96.0,220.0,Hybrid,0.9,52376
Blue Gate_15550W_122,Blue Gate,15550.0,12.0,220.0,Battery-Based,0.87,822794
Growatt_12900W_123,Growatt,12900.0,96.0,220.0,Off-Grid,0.88,1283027
Growatt_1600W_124,Growatt,1600.0,240.0,220.0,Hybrid,0.89,136130
Victron Energy_1250W_125,Victron Energy,1250.0,240.0,220.0,Multifunction,0.89,141645
Kartel Solar_13950W_126,Kartel Solar,13950.0,240.0,220.0,Battery-Based,0.9,831908
Sungrow_15700W_127,Sungrow,15700.0,96.0,220.0,Off-Grid,0.91,1174651
Kartel Solar_9000W_128,Kartel Solar,9000.0,96.0,220.0,Grid-Tie,0.89,391621
PRAG_5750W_129,PRAG,5750.0,240.0,220.0,Hybrid,0.91,197104
Blue Gate_900W_130,Blue Gate,900.0,48.0,220.0,Off-Grid,0.87,45038
Sungrow_6500W_131,Sungrow,6500.0,240.0,220.0,Battery-Based,0.9,634939
Growatt_11450W_132,Growatt,11450.0,12.0,220.0,Battery-Based,0.91,1043877
Felicity Solar_3750W_133,Felicity Solar,3750.0,96.0,220.0,Off-Grid,0.9,135230
Felicity Solar_18350W_134,Felicity Solar,18350.0,240.0,220.0,Battery-Based,0.89,809143
Huawei_16950W_135,Huawei,16950.0,240.0,220.0,Multifunction,0.9,2337678
PRAG_13350W_136,PRAG,13350.0,48.0,220.0,Battery-Based,0.9,758397
Kartel Solar_19350W_137,Kartel Solar,19350.0,48.0,220.0,Hybrid,0.89,650442
Protonix Fortuner_14750W_138,Protonix Fortuner,14750.0,24.0,220.0,Grid-Tie,0.9,1214127
Blue Gate_15000W_139,Blue Gate,15000.0,96.0,220.0,Grid-Tie,0.91,450128
Techfine_15050W_140,Techfine,15050.0,96.0,220.0,Off-Grid,0.89,908094
Felicity Solar_3750W_141,Felicity Solar,3750.0,96.0,220.0,Hybrid,0.91,224487
Techfine_13750W_142,Techfine,13750.0,96.0,220.0,Hybrid,0.91,1161658
Blue Gate_13500W_143,Blue Gate,13500.0,12.0,220.0,Off-Grid,0.88,739928
Blue Gate_1450W_144,Blue Gate,1450.0,12.0,220.0,Battery-Based,0.89,77598
Huawei_15700W_145,Huawei,15700.0,12.0,220.0,Off-Grid,0.9,2171723
Kartel Solar_6050W_146,Kartel Solar,6050.0,48.0,220.0,Grid-Tie,0.91,208474
Sungrow_19200W_147,Sungrow,19200.0,240.0,220.0,Battery-Based,0.87,1407737
Kartel Solar_11900W_148,Kartel Solar,11900.0,24.0,220.0,Multifunction,0.89,474013
Techfine_5550W_149,Techfine,5550.0,240.0,220.0,Multifunction,0.9,380795
Kartel Solar_15800W_150,Kartel Solar,15800.0,48.0,220.0,Battery-Based,0.91,549270
Victron Energy_17350W_151,Victron Energy,17350.0,24.0,220.0,Battery-Based,0.91,2389013
Kartel Solar_19000W_152,Kartel Solar,19000.0,240.0,220.0,Off-Grid,0.91,1106475
Protonix Fortuner_7900W_153,Protonix Fortuner,7900.0,24.0,220.0,Battery-Based,0.9,780101
Techfine_8000W_154,Techfine,8000.0,48.0,220.0,Multifunction,0.89,734327
SMA_8050W_155,SMA,8050.0,48.0,220.0,Hybrid,0.89,919371
Fronius_6100W_156,Fronius,6100.0,96.0,220.0,Hybrid,0.91,770096
Victron Energy_11650W_157,Victron Energy,11650.0,240.0,220.0,Off-Grid,0.91,1363499
Victron Energy_8200W_158,Victron Energy,8200.0,12.0,220.0,Hybrid,0.92,1141894
Blue Gate_6750W_159,Blue Gate,6750.0,240.0,220.0,Multifunction,0.91,377531
SMA_1250W_160,SMA,1250.0,240.0,220.0,Grid-Tie,0.91,162087
PRAG_13900W_161,PRAG,13900.0,24.0,220.0,Battery-Based,0.89,626819
Felicity Solar_13750W_162,Felicity Solar,13750.0,96.0,220.0,Off-Grid,0.92,504998
PRAG_7750W_163,PRAG,7750.0,12.0,220.0,Grid-Tie,0.88,345385
Sungrow_7150W_164,Sungrow,7150.0,240.0,220.0,Hybrid,0.91,482917
Felicity Solar_19200W_165,Felicity Solar,19200.0,96.0,220.0,Battery-Based,0.88,1102505
SMA_16100W_166,SMA,16100.0,12.0,220.0,Multifunction,0.89,2162312
Blue Gate_19100W_167,Blue Gate,19100.0,96.0,220.0,Multifunction,0.92,1073598
Protonix Fortuner_4400W_168,Protonix Fortuner,4400.0,12.0,220.0,Off-Grid,0.91,310082
Protonix Fortuner_9500W_169,Protonix Fortuner,9500.0,24.0,220.0,Battery-Based,0.88,921434
Blue Gate_13300W_170,Blue Gate,13300.0,12.0,220.0,Multifunction,0.88,511839
Growatt_3550W_171,Growatt,3550.0,240.0,220.0,Battery-Based,0.87,334857
Sungrow_3350W_172,Sungrow,3350.0,12.0,220.0,Hybrid,0.9,253222
Sungrow_9800W_173,Sungrow,9800.0,24.0,220.0,Battery-Based,0.9,833448
Growatt_14500W_174,Growatt,14500.0,96.0,220.0,Multifunction,0.9,1349102
PRAG_14800W_175,PRAG,14800.0,24.0,220.0,Multifunction,0.91,554416
Huawei_2100W_176,Huawei,2100.0,24.0,220.0,Battery-Based,0.91,297214
Sungrow_3050W_177,Sungrow,3050.0,12.0,220.0,Off-Grid,0.89,228950
Felicity Solar_8500W_178,Felicity Solar,8500.0,48.0,220.0,Hybrid,0.88,502437
Fronius_13050W_179,Fronius,13050.0,96.0,220.0,Grid-Tie,0.89,1789756
Sungrow_12650W_180,Sungrow,12650.0,48.0,220.0,Hybrid,0.88,790011
Kartel Solar_11250W_181,Kartel Solar,11250.0,240.0,220.0,Off-Grid,0.9,448298
Felicity Solar_6950W_182,Felicity Solar,6950.0,12.0,220.0,Off-Grid,0.87,210874
Sungrow_8000W_183,Sungrow,8000.0,12.0,220.0,Multifunction,0.88,724016
Protonix Fortuner_7700W_184,Protonix Fortuner,7700.0,96.0,220.0,Hybrid,0.92,628661
Techfine_5600W_185,Techfine,5600.0,96.0,220.0,Battery-Based,0.89,504533
Felicity Solar_10100W_186,Felicity Solar,10100.0,96.0,220.0,Hybrid,0.88,334281
Protonix Fortuner_13750W_187,Protonix Fortuner,13750.0,24.0,220.0,Grid-Tie,0.89,998390
Techfine_3650W_188,Techfine,3650.0,96.0,220.0,Grid-Tie,0.89,257127
Fronius_9150W_189,Fronius,9150.0,240.0,220.0,Grid-Tie,0.88,1064360
Fronius_11350W_190,Fronius,11350.0,96.0,220.0,Multifunction,0.91,1539074
Sungrow_7650W_191,Sungrow,7650.0,12.0,220.0,Multifunction,0.89,715261
Victron Energy_10850W_192,Victron Energy,10850.0,12.0,220.0,Off-Grid,0.91,1577551
Fronius_17800W_193,Fronius,17800.0,240.0,220.0,Multifunction,0.89,2003647
Blue Gate_15100W_194,Blue Gate,15100.0,240.0,220.0,Hybrid,0.87,798659
Sungrow_1450W_195,Sungrow,1450.0,48.0,220.0,Grid-Tie,0.91,116214
Victron Energy_19300W_196,Victron Energy,19300.0,24.0,220.0,Off-Grid,0.89,2709285
Growatt_8050W_197,Growatt,8050.0,240.0,220.0,Grid-Tie,0.92,715791
Kartel Solar_20000W_198,Kartel Solar,20000.0,12.0,220.0,Hybrid,0.91,916745
Fronius_10000W_199,Fronius,10000.0,96.0,220.0,Off-Grid,0.87,1096564
Techfine_9150W_200,Techfine,9150.0,240.0,220.0,Off-Grid,0.89,726446
Techfine_4450W_201,Techfine,4450.0,48.0,220.0,Grid-Tie,0.9,389429
Techfine_11750W_202,Techfine,11750.0,12.0,220.0,Multifunction,0.9,719704
Felicity Solar_12350W_203,Felicity Solar,12350.0,24.0,220.0,Off-Grid,0.9,491946
Sungrow_9750W_204,Sungrow,9750.0,240.0,220.0,Grid-Tie,0.9,822544
Growatt_11600W_205,Growatt,11600.0,240.0,220.0,Off-Grid,0.89,772244
Sungrow_12550W_206,Sungrow,12550.0,12.0,220.0,Multifunction,0.88,1014720
Kartel Solar_4450W_207,Kartel Solar,4450.0,12.0,220.0,Off-Grid,0.88,213221
Blue Gate_7850W_208,Blue Gate,7850.0,240.0,220.0,Grid-Tie,0.88,451486
Huawei_4150W_209,Huawei,4150.0,240.0,220.0,Battery-Based,0.88,456796
Growatt_7650W_210,Growatt,7650.0,48.0,220.0,Multifunction,0.88,567179
Blue Gate_7000W_211,Blue Gate,7000.0,96.0,220.0,Battery-Based,0.87,280171
Kartel Solar_10700W_212,Kartel Solar,10700.0,12.0,220.0,Off-Grid,0.89,331813
Techfine_13850W_213,Techfine,13850.0,96.0,220.0,Grid-Tie,0.88,1094998
PRAG_4500W_214,PRAG,4500.0,12.0,220.0,Off-Grid,0.89,154348
Blue Gate_9800W_215,Blue Gate,9800.0,12.0,220.0,Battery-Based,0.87,307444
Kartel Solar_19500W_216,Kartel Solar,19500.0,96.0,220.0,Off-Grid,0.89,897338
Fronius_17300W_217,Fronius,17300.0,12.0,220.0,Off-Grid,0.9,2115600
Felicity Solar_16900W_218,Felicity Solar,16900.0,24.0,220.0,Off-Grid,0.9,716588
Techfine_9600W_219,Techfine,9600.0,96.0,220.0,Hybrid,0.9,928747
Felicity Solar_15250W_220,Felicity Solar,15250.0,48.0,220.0,Multifunction,0.89,622246
Kartel Solar_16200W_221,Kartel Solar,16200.0,96.0,220.0,Multifunction,0.89,955409
Sungrow_5250W_222,Sungrow,5250.0,12.0,220.0,Off-Grid,0.88,317517
PRAG_13600W_223,PRAG,13600.0,96.0,220.0,Multifunction,0.91,655560
Blue Gate_10600W_224,Blue Gate,10600.0,240.0,220.0,Multifunction,0.89,325524
PRAG_6250W_225,PRAG,6250.0,24.0,220.0,Hybrid,0.92,297277
SMA_15000W_226,SMA,15000.0,12.0,220.0,Multifunction,0.88,2063709
Growatt_14700W_227,Growatt,14700.0,48.0,220.0,Grid-Tie,0.91,1421722
Felicity Solar_9350W_228,Felicity Solar,9350.0,12.0,220.0,Off-Grid,0.92,321208
Victron Energy_5200W_229,Victron Energy,5200.0,12.0,220.0,Off-Grid,0.88,643877
Huawei_18900W_230,Huawei,18900.0,240.0,220.0,Battery-Based,0.89,2286823
Felicity Solar_1450W_231,Felicity Solar,1450.0,24.0,220.0,Grid-Tie,0.92,86204
Sungrow_14300W_232,Sungrow,14300.0,240.0,220.0,Multifunction,0.91,1395634
Blue Gate_15900W_233,Blue Gate,15900.0,24.0,220.0,Multifunction,0.88,942092
Sungrow_16050W_234,Sungrow,16050.0,12.0,220.0,Battery-Based,0.92,1329371
Protonix Fortuner_6500W_235,Protonix Fortuner,6500.0,96.0,220.0,Off-Grid,0.89,455142
PRAG_15100W_236,PRAG,15100.0,240.0,220.0,Hybrid,0.91,761148
PRAG_15400W_237,PRAG,15400.0,48.0,220.0,Battery-Based,0.91,714564
PRAG_16000W_238,PRAG,16000.0,12.0,220.0,Grid-Tie,0.92,624041
PRAG_750W_239,PRAG,750.0,240.0,220.0,Multifunction,0.87,25227
Kartel Solar_15400W_240,Kartel Solar,15400.0,96.0,220.0,Grid-Tie,0.92,655547
Felicity Solar_9600W_241,Felicity Solar,9600.0,24.0,220.0,Hybrid,0.88,500361
PRAG_15350W_242,PRAG,15350.0,96.0,220.0,Hybrid,0.88,813730
Blue Gate_19550W_243,Blue Gate,19550.0,24.0,220.0,Hybrid,0.87,705853
Growatt_17300W_244,Growatt,17300.0,96.0,220.0,Battery-Based,0.9,1432034
Protonix Fortuner_13400W_245,Protonix Fortuner,13400.0,24.0,220.0,Grid-Tie,0.89,944552
PRAG_18950W_246,PRAG,18950.0,96.0,220.0,Off-Grid,0.87,675152
Techfine_13750W_247,Techfine,13750.0,12.0,220.0,Off-Grid,0.9,1038387
PRAG_4100W_248,PRAG,4100.0,48.0,220.0,Multifunction,0.91,222932
Kartel Solar_4800W_249,Kartel Solar,4800.0,240.0,220.0,Battery-Based,0.91,231227
Victron Energy_15500W_250,Victron Energy,15500.0,12.0,220.0,Hybrid,0.89,2158527
Felicity Solar_2100W_251,Felicity Solar,2100.0,48.0,220.0,Battery-Based,0.88,80512
Victron Energy_5800W_252,Victron Energy,5800.0,12.0,220.0,Hybrid,0.9,614784
Sungrow_10550W_253,Sungrow,10550.0,12.0,220.0,Battery-Based,0.88,749660
Protonix Fortuner_1750W_254,Protonix Fortuner,1750.0,240.0,220.0,Multifunction,0.91,146434
Blue Gate_8550W_255,Blue Gate,8550.0,12.0,220.0,Off-Grid,0.91,398239
Techfine_17050W_256,Techfine,17050.0,48.0,220.0,Hybrid,0.92,1260322
Techfine_11950W_257,Techfine,11950.0,24.0,220.0,Battery-Based,0.91,937082
Techfine_14150W_258,Techfine,14150.0,48.0,220.0,Multifunction,0.91,1373176
Blue Gate_13350W_259,Blue Gate,13350.0,240.0,220.0,Multifunction,0.88,585531
Felicity Solar_16550W_260,Felicity Solar,16550.0,240.0,220.0,Grid-Tie,0.89,895829
Blue Gate_19150W_261,Blue Gate,19150.0,96.0,220.0,Multifunction,0.91,812811
Kartel Solar_2450W_262,Kartel Solar,2450.0,48.0,220.0,Hybrid,0.88,121266
Victron Energy_13350W_263,Victron Energy,13350.0,96.0,220.0,Off-Grid,0.88,1883488
PRAG_2650W_264,PRAG,2650.0,48.0,220.0,Hybrid,0.89,157979
Felicity Solar_3500W_265,Felicity Solar,3500.0,48.0,220.0,Hybrid,0.89,193894
Fronius_6100W_266,Fronius,6100.0,240.0,220.0,Hybrid,0.91,779180
Victron Energy_8450W_267,Victron Energy,8450.0,12.0,220.0,Off-Grid,0.87,1247115
Felicity Solar_3900W_268,Felicity Solar,3900.0,96.0,220.0,Hybrid,0.91,175977
Fronius_17000W_269,Fronius,17000.0,96.0,220.0,Grid-Tie,0.87,2026725
Growatt_13950W_270,Growatt,13950.0,240.0,220.0,Multifunction,0.91,1308253
Sungrow_15600W_271,Sungrow,15600.0,48.0,220.0,Grid-Tie,0.88,1295307
Techfine_6300W_272,Techfine,6300.0,12.0,220.0,Hybrid,0.88,605862
SMA_6950W_273,SMA,6950.0,240.0,220.0,Multifunction,0.92,722208
Protonix Fortuner_11900W_274,Protonix Fortuner,11900.0,48.0,220.0,Grid-Tie,0.92,1061848
Blue Gate_16750W_275,Blue Gate,16750.0,24.0,220.0,Grid-Tie,0.89,984333
SMA_6600W_276,SMA,6600.0,48.0,220.0,Hybrid,0.92,951006
Victron Energy_13550W_277,Victron Energy,13550.0,24.0,220.0,Battery-Based,0.89,1411640
Protonix Fortuner_3050W_278,Protonix Fortuner,3050.0,48.0,220.0,Grid-Tie,0.92,270722
Fronius_2500W_279,Fronius,2500.0,12.0,220.0,Off-Grid,0.92,262597
Protonix Fortuner_11900W_280,Protonix Fortuner,11900.0,240.0,220.0,Multifunction,0.9,1082374
Protonix Fortuner_4650W_281,Protonix Fortuner,4650.0,12.0,220.0,Off-Grid,0.91,360600
Fronius_10750W_282,Fronius,10750.0,12.0,220.0,Off-Grid,0.89,1226736
Fronius_11700W_283,Fronius,11700.0,96.0,220.0,Grid-Tie,0.89,1490694
Felicity Solar_14950W_284,Felicity Solar,14950.0,12.0,220.0,Multifunction,0.89,812811
Blue Gate_5400W_285,Blue Gate,5400.0,12.0,220.0,Off-Grid,0.89,232093
Blue Gate_2800W_286,Blue Gate,2800.0,12.0,220.0,Grid-Tie,0.9,108076
Sungrow_10550W_287,Sungrow,10550.0,240.0,220.0,Hybrid,0.88,655063
Blue Gate_13200W_288,Blue Gate,13200.0,24.0,220.0,Off-Grid,0.92,647348
PRAG_15450W_289,PRAG,15450.0,12.0,220.0,Grid-Tie,0.9,923460
Techfine_4700W_290,Techfine,4700.0,96.0,220.0,Off-Grid,0.87,456361
Huawei_16350W_291,Huawei,16350.0,240.0,220.0,Grid-Tie,0.88,1988157
Felicity Solar_13500W_292,Felicity Solar,13500.0,24.0,220.0,Battery-Based,0.9,421805
Felicity Solar_3050W_293,Felicity Solar,3050.0,96.0,220.0,Hybrid,0.9,170746
Growatt_13850W_294,Growatt,13850.0,96.0,220.0,Grid-Tie,0.88,1007517
Blue Gate_6900W_295,Blue Gate,6900.0,24.0,220.0,Grid-Tie,0.9,229532
Sungrow_7700W_296,Sungrow,7700.0,12.0,220.0,Off-Grid,0.9,488192
PRAG_19550W_297,PRAG,19550.0,12.0,220.0,Multifunction,0.88,1152703
Kartel Solar_8900W_298,Kartel Solar,8900.0,24.0,220.0,Off-Grid,0.91,450888
PRAG_1600W_299,PRAG,1600.0,240.0,220.0,Hybrid,0.88,72548
Felicity Solar_950W_300,Felicity Solar,950.0,48.0,220.0,Battery-Based,0.91,38628
Kartel Solar_19450W_301,Kartel Solar,19450.0,240.0,220.0,Hybrid,0.92,908617
Sungrow_10150W_302,Sungrow,10150.0,96.0,220.0,Grid-Tie,0.91,803842
Sungrow_9300W_303,Sungrow,9300.0,240.0,220.0,Battery-Based,0.91,642337
