controller_id,brand,type,max_voltage_V,max_current_A,derating_factor,price_NGN
Morningstar_PWM_48V_45A_23,Morningstar,PWM,48.0,45.0,0.95,238817
Growatt_MPPT_100V_20A_24,Growatt,MPPT,100.0,20.0,0.94,67335
Growatt_PWM_12V_25A_25,Growatt,PWM,12.0,25.0,0.93,70829
Livoltek_PWM_12V_55A_26,Livoltek,PWM,12.0,55.0,0.93,238679
Felicity_MPPT_12V_85A_27,Felicity,MPPT,12.0,85.0,0.95,35093
Anern_MPPT_36V_80A_28,Anern,MPPT,36.0,80.0,0.95,93800
Epever_PWM_48V_55A_29,Epever,PWM,48.0,55.0,0.92,127810
Livoltek_PWM_60V_75A_30,Livoltek,PWM,60.0,75.0,0.92,191916
Felicity_MPPT_60V_95A_31,Felicity,MPPT,60.0,95.0,0.94,71892
Must_PWM_48V_45A_32,Must,PWM,48.0,45.0,0.94,61187
Morningstar_MPPT_24V_80A_33,Morningstar,MPPT,24.0,80.0,0.94,162404
SRNE_MPPT_24V_100A_34,SRNE,MPPT,24.0,100.0,0.94,36715
Souer_PWM_48V_100A_35,Souer,PWM,48.0,100.0,0.92,212707
Morningstar_PWM_60V_15A_36,Morningstar,PWM,60.0,15.0,0.94,218938
Growatt_PWM_60V_25A_37,Growatt,PWM,60.0,25.0,0.93,35418
Souer_MPPT_48V_30A_38,Souer,MPPT,48.0,30.0,0.94,221394
Souer_MPPT_48V_95A_39,Souer,MPPT,48.0,95.0,0.92,184123
Xtra Power_MPPT_48V_10A_40,Xtra Power,MPPT,48.0,10.0,0.93,84608
Growatt_MPPT_48V_80A_41,Growatt,MPPT,48.0,80.0,0.93,50156
Schneider Electric_MPPT_100V_55A_42,Schneider Electric,MPPT,100.0,55.0,0.93,244853
Xtra Power_PWM_12V_65A_43,Xtra Power,PWM,12.0,65.0,0.93,120486
Anern_MPPT_24V_80A_44,Anern,MPPT,24.0,80.0,0.94,134043
SRNE_PWM_24V_45A_45,SRNE,PWM,24.0,45.0,0.95,28032
Techfine_PWM_60V_45A_46,Techfine,PWM,60.0,45.0,0.92,104290
Souer_PWM_48V_10A_47,Souer,PWM,48.0,10.0,0.94,207597
Morningstar_MPPT_150V_85A_48,Morningstar,MPPT,150.0,85.0,0.92,176303
Growatt_PWM_60V_70A_49,Growatt,PWM,60.0,70.0,0.94,74425
SRNE_MPPT_60V_45A_50,SRNE,MPPT,60.0,45.0,0.95,50413
Must_MPPT_48V_50A_51,Must,MPPT,48.0,50.0,0.95,27108
Souer_MPPT_36V_70A_52,Souer,MPPT,36.0,70.0,0.92,179651
Souer_PWM_36V_55A_53,Souer,PWM,36.0,55.0,0.91,230901
Xtra Power_PWM_36V_70A_54,Xtra Power,PWM,36.0,70.0,0.92,139603
Techfine_MPPT_48V_10A_55,Techfine,MPPT,48.0,10.0,0.94,106338
Growatt_PWM_60V_15A_56,Growatt,PWM,60.0,15.0,0.92,53419
Anern_PWM_24V_100A_57,Anern,PWM,24.0,100.0,0.91,133748
Epever_MPPT_24V_15A_58,Epever,MPPT,24.0,15.0,0.93,145519
Livoltek_PWM_60V_45A_59,Livoltek,PWM,60.0,45.0,0.93,177566
Epever_MPPT_48V_85A_60,Epever,MPPT,48.0,85.0,0.91,87913
Souer_MPPT_60V_70A_61,Souer,MPPT,60.0,70.0,0.95,232922
Anern_MPPT_60V_70A_62,Anern,MPPT,60.0,70.0,0.94,135706
SRNE_MPPT_12V_35A_63,SRNE,MPPT,12.0,35.0,0.92,51365
Felicity_MPPT_100V_95A_64,Felicity,MPPT,100.0,95.0,0.92,64278
Anern_PWM_60V_50A_65,Anern,PWM,60.0,50.0,0.95,98150
SRNE_PWM_12V_85A_66,SRNE,PWM,12.0,85.0,0.92,32099
Must_PWM_60V_100A_67,Must,PWM,60.0,100.0,0.95,30191
Anern_PWM_12V_80A_68,Anern,PWM,12.0,80.0,0.93,88595
Growatt_MPPT_100V_25A_69,Growatt,MPPT,100.0,25.0,0.95,50896
Felicity_PWM_60V_75A_70,Felicity,PWM,60.0,75.0,0.92,67588
Epever_MPPT_100V_35A_71,Epever,MPPT,100.0,35.0,0.93,88507
Xtra Power_MPPT_60V_50A_72,Xtra Power,MPPT,60.0,50.0,0.92,99655
Techfine_PWM_24V_35A_73,Techfine,PWM,24.0,35.0,0.93,123409
Growatt_PWM_36V_75A_74,Growatt,PWM,36.0,75.0,0.92,24130
Anern_PWM_48V_30A_75,Anern,PWM,48.0,30.0,0.92,136368
Souer_PWM_24V_65A_76,Souer,PWM,24.0,65.0,0.92,160810
Epever_MPPT_36V_40A_77,Epever,MPPT,36.0,40.0,0.93,108868
Must_PWM_36V_35A_78,Must,PWM,36.0,35.0,0.92,58699
Epever_MPPT_24V_60A_79,Epever,MPPT,24.0,60.0,0.94,131832
SRNE_PWM_48V_85A_80,SRNE,PWM,48.0,85.0,0.91,64711
Epever_MPPT_36V_35A_81,Epever,MPPT,36.0,35.0,0.93,91062
Felicity_MPPT_150V_95A_82,Felicity,MPPT,150.0,95.0,0.95,20919
SRNE_PWM_24V_10A_83,SRNE,PWM,24.0,10.0,0.93,57444
Epever_PWM_36V_35A_84,Epever,PWM,36.0,35.0,0.91,141500
Schneider Electric_MPPT_36V_75A_85,Schneider Electric,MPPT,36.0,75.0,0.92,224948
Morningstar_PWM_12V_85A_86,Morningstar,PWM,12.0,85.0,0.94,237947
Epever_MPPT_48V_85A_87,Epever,MPPT,48.0,85.0,0.94,104586
Growatt_PWM_12V_50A_88,Growatt,PWM,12.0,50.0,0.91,41134
Schneider Electric_MPPT_48V_95A_89,Schneider Electric,MPPT,48.0,95.0,0.92,150263
SRNE_PWM_48V_75A_90,SRNE,PWM,48.0,75.0,0.94,22124
Livoltek_MPPT_36V_90A_91,Livoltek,MPPT,36.0,90.0,0.95,194457
Growatt_MPPT_36V_25A_92,Growatt,MPPT,36.0,25.0,0.93,43814
Anern_MPPT_36V_30A_93,Anern,MPPT,36.0,30.0,0.95,81491
Souer_PWM_60V_50A_94,Souer,PWM,60.0,50.0,0.94,221078
Growatt_MPPT_36V_20A_95,Growatt,MPPT,36.0,20.0,0.94,30343
Anern_PWM_60V_90A_96,Anern,PWM,60.0,90.0,0.91,102726
Xtra Power_PWM_24V_45A_97,Xtra Power,PWM,24.0,45.0,0.94,135992
Morningstar_PWM_60V_25A_98,Morningstar,PWM,60.0,25.0,0.93,211362
SRNE_MPPT_36V_60A_99,SRNE,MPPT,36.0,60.0,0.91,50066
Morningstar_MPPT_12V_50A_100,Morningstar,MPPT,12.0,50.0,0.95,235350
SRNE_MPPT_60V_45A_101,SRNE,MPPT,60.0,45.0,0.91,49872
Xtra Power_PWM_24V_50A_102,Xtra Power,PWM,24.0,50.0,0.93,118507
Epever_MPPT_48V_40A_103,Epever,MPPT,48.0,40.0,0.92,92121
Morningstar_MPPT_36V_40A_104,Morningstar,MPPT,36.0,40.0,0.94,181921
Growatt_PWM_36V_75A_105,Growatt,PWM,36.0,75.0,0.94,69500
Morningstar_PWM_24V_35A_106,Morningstar,PWM,24.0,35.0,0.92,186231
Growatt_MPPT_24V_85A_107,Growatt,MPPT,24.0,85.0,0.92,29654
Schneider Electric_PWM_48V_75A_108,Schneider Electric,PWM,48.0,75.0,0.92,230911
Livoltek_PWM_48V_70A_109,Livoltek,PWM,48.0,70.0,0.93,180658
Anern_PWM_48V_25A_110,Anern,PWM,48.0,25.0,0.94,81449
SRNE_MPPT_150V_100A_111,SRNE,MPPT,150.0,100.0,0.94,75887
Epever_PWM_36V_50A_112,Epever,PWM,36.0,50.0,0.94,119602
Livoltek_PWM_12V_60A_113,Livoltek,PWM,12.0,60.0,0.94,166886
Growatt_PWM_60V_75A_114,Growatt,PWM,60.0,75.0,0.92,35005
SRNE_PWM_60V_90A_115,SRNE,PWM,60.0,90.0,0.95,68179
Felicity_MPPT_36V_55A_116,Felicity,MPPT,36.0,55.0,0.93,66927
Felicity_MPPT_36V_50A_117,Felicity,MPPT,36.0,50.0,0.93,76325
Growatt_MPPT_150V_100A_118,Growatt,MPPT,150.0,100.0,0.95,50080
Must_MPPT_60V_80A_119,Must,MPPT,60.0,80.0,0.92,71211
Must_MPPT_36V_40A_120,Must,MPPT,36.0,40.0,0.93,37879
Epever_MPPT_60V_95A_121,Epever,MPPT,60.0,95.0,0.94,87972
Must_MPPT_150V_95A_122,Must,MPPT,150.0,95.0,0.94,66115
Anern_PWM_48V_55A_123,Anern,PWM,48.0,55.0,0.92,106922
SRNE_PWM_48V_60A_124,SRNE,PWM,48.0,60.0,0.92,29739
SRNE_MPPT_60V_15A_125,SRNE,MPPT,60.0,15.0,0.93,72141
Must_PWM_24V_85A_126,Must,PWM,24.0,85.0,0.94,33790
Souer_MPPT_60V_40A_127,Souer,MPPT,60.0,40.0,0.93,165393
Epever_MPPT_60V_85A_128,Epever,MPPT,60.0,85.0,0.93,119141
Growatt_MPPT_60V_45A_129,Growatt,MPPT,60.0,45.0,0.92,42263
Xtra Power_MPPT_150V_30A_130,Xtra Power,MPPT,150.0,30.0,0.93,138842
Morningstar_MPPT_12V_100A_131,Morningstar,MPPT,12.0,100.0,0.94,161853
SRNE_MPPT_12V_45A_132,SRNE,MPPT,12.0,45.0,0.92,57693
Techfine_MPPT_150V_70A_133,Techfine,MPPT,150.0,70.0,0.94,122422
SRNE_MPPT_48V_25A_134,SRNE,MPPT,48.0,25.0,0.94,25931
Must_MPPT_12V_95A_135,Must,MPPT,12.0,95.0,0.93,23929
Epever_MPPT_150V_100A_136,Epever,MPPT,150.0,100.0,0.93,90390
Xtra Power_MPPT_48V_15A_137,Xtra Power,MPPT,48.0,15.0,0.91,91625
Techfine_PWM_24V_75A_138,Techfine,PWM,24.0,75.0,0.93,110385
Growatt_MPPT_100V_45A_139,Growatt,MPPT,100.0,45.0,0.91,41387
Epever_PWM_48V_55A_140,Epever,PWM,48.0,55.0,0.94,146585
SRNE_MPPT_60V_85A_141,SRNE,MPPT,60.0,85.0,0.91,72802
Anern_PWM_36V_85A_142,Anern,PWM,36.0,85.0,0.94,134241
Xtra Power_MPPT_36V_75A_143,Xtra Power,MPPT,36.0,75.0,0.94,129599
Xtra Power_PWM_48V_90A_144,Xtra Power,PWM,48.0,90.0,0.94,131174
Anern_MPPT_36V_95A_145,Anern,MPPT,36.0,95.0,0.95,96225
Epever_PWM_36V_45A_146,Epever,PWM,36.0,45.0,0.92,124444
Epever_MPPT_12V_65A_147,Epever,MPPT,12.0,65.0,0.92,137868
Growatt_MPPT_24V_75A_148,Growatt,MPPT,24.0,75.0,0.91,66759
Anern_PWM_48V_30A_149,Anern,PWM,48.0,30.0,0.93,82252
Souer_MPPT_150V_75A_150,Souer,MPPT,150.0,75.0,0.94,162587
Schneider Electric_MPPT_48V_15A_151,Schneider Electric,MPPT,48.0,15.0,0.91,156291
Xtra Power_MPPT_60V_65A_152,Xtra Power,MPPT,60.0,65.0,0.93,104974
Livoltek_PWM_36V_80A_153,Livoltek,PWM,36.0,80.0,0.95,174582
SRNE_MPPT_48V_15A_154,SRNE,MPPT,48.0,15.0,0.92,64739
SRNE_MPPT_60V_100A_155,SRNE,MPPT,60.0,100.0,0.94,30699
Felicity_PWM_36V_10A_156,Felicity,PWM,36.0,10.0,0.93,51834
Morningstar_MPPT_150V_45A_157,Morningstar,MPPT,150.0,45.0,0.93,219311
Anern_PWM_36V_25A_158,Anern,PWM,36.0,25.0,0.91,127369
Growatt_MPPT_12V_15A_159,Growatt,MPPT,12.0,15.0,0.93,75835
SRNE_MPPT_36V_25A_160,SRNE,MPPT,36.0,25.0,0.92,55483
Felicity_MPPT_12V_25A_161,Felicity,MPPT,12.0,25.0,0.93,60152
Felicity_PWM_36V_90A_162,Felicity,PWM,36.0,90.0,0.94,77557
Anern_MPPT_24V_20A_163,Anern,MPPT,24.0,20.0,0.94,87480
Anern_MPPT_36V_100A_164,Anern,MPPT,36.0,100.0,0.91,111519
Xtra Power_MPPT_48V_65A_165,Xtra Power,MPPT,48.0,65.0,0.94,132693
Felicity_MPPT_100V_40A_166,Felicity,MPPT,100.0,40.0,0.92,39331
Epever_MPPT_100V_55A_167,Epever,MPPT,100.0,55.0,0.95,117376
Livoltek_PWM_24V_85A_168,Livoltek,PWM,24.0,85.0,0.93,158575
Xtra Power_MPPT_12V_30A_169,Xtra Power,MPPT,12.0,30.0,0.92,95890
Felicity_PWM_12V_30A_170,Felicity,PWM,12.0,30.0,0.94,24573
Livoltek_MPPT_100V_50A_171,Livoltek,MPPT,100.0,50.0,0.95,185700
Growatt_PWM_60V_90A_172,Growatt,PWM,60.0,90.0,0.93,56345
Must_PWM_24V_90A_173,Must,PWM,24.0,90.0,0.95,31685
Growatt_MPPT_12V_60A_174,Growatt,MPPT,12.0,60.0,0.93,36022
Felicity_MPPT_36V_60A_175,Felicity,MPPT,36.0,60.0,0.95,30791
Morningstar_PWM_12V_90A_176,Morningstar,PWM,12.0,90.0,0.91,236856
Epever_PWM_48V_40A_177,Epever,PWM,48.0,40.0,0.94,149394
Epever_PWM_24V_10A_178,Epever,PWM,24.0,10.0,0.92,111598
Souer_MPPT_48V_35A_179,Souer,MPPT,48.0,35.0,0.92,158631
Growatt_MPPT_150V_55A_180,Growatt,MPPT,150.0,55.0,0.95,77280
Xtra Power_PWM_12V_75A_181,Xtra Power,PWM,12.0,75.0,0.91,148961
Livoltek_MPPT_150V_90A_182,Livoltek,MPPT,150.0,90.0,0.92,166327
Growatt_PWM_60V_80A_183,Growatt,PWM,60.0,80.0,0.93,26717
Xtra Power_PWM_36V_15A_184,Xtra Power,PWM,36.0,15.0,0.94,149974
Schneider Electric_PWM_12V_95A_185,Schneider Electric,PWM,12.0,95.0,0.93,205341
Felicity_PWM_48V_40A_186,Felicity,PWM,48.0,40.0,0.92,42333
Must_MPPT_48V_55A_187,Must,MPPT,48.0,55.0,0.94,61706
Growatt_MPPT_60V_30A_188,Growatt,MPPT,60.0,30.0,0.93,20332
SRNE_PWM_48V_80A_189,SRNE,PWM,48.0,80.0,0.92,55929
Must_PWM_60V_55A_190,Must,PWM,60.0,55.0,0.93,40842
SRNE_PWM_48V_55A_191,SRNE,PWM,48.0,55.0,0.91,50109
Growatt_PWM_48V_70A_192,Growatt,PWM,48.0,70.0,0.95,38245
SRNE_PWM_36V_15A_193,SRNE,PWM,36.0,15.0,0.95,26226
SRNE_MPPT_100V_55A_194,SRNE,MPPT,100.0,55.0,0.94,35131
Techfine_PWM_60V_85A_195,Techfine,PWM,60.0,85.0,0.91,148903
Schneider Electric_PWM_36V_60A_196,Schneider Electric,PWM,36.0,60.0,0.92,175027
Techfine_PWM_24V_10A_197,Techfine,PWM,24.0,10.0,0.94,112450
Epever_PWM_48V_60A_198,Epever,PWM,48.0,60.0,0.95,104536
Growatt_MPPT_12V_45A_199,Growatt,MPPT,12.0,45.0,0.93,72154
Xtra Power_MPPT_150V_95A_200,Xtra Power,MPPT,150.0,95.0,0.92,81403
Souer_MPPT_100V_95A_201,Souer,MPPT,100.0,95.0,0.94,180420
Anern_PWM_12V_40A_202,Anern,PWM,12.0,40.0,0.92,142204
Must_PWM_12V_55A_203,Must,PWM,12.0,55.0,0.95,28822
Anern_PWM_12V_90A_204,Anern,PWM,12.0,90.0,0.92,97437
Schneider Electric_PWM_12V_20A_205,Schneider Electric,PWM,12.0,20.0,0.91,215883
Must_PWM_36V_75A_206,Must,PWM,36.0,75.0,0.95,30107
Felicity_PWM_36V_100A_207,Felicity,PWM,36.0,100.0,0.93,57513
Techfine_PWM_48V_85A_208,Techfine,PWM,48.0,85.0,0.91,125168
Must_PWM_36V_30A_209,Must,PWM,36.0,30.0,0.93,24180
Growatt_PWM_24V_75A_210,Growatt,PWM,24.0,75.0,0.95,28876
Epever_MPPT_150V_100A_211,Epever,MPPT,150.0,100.0,0.94,125914
Souer_MPPT_60V_60A_212,Souer,MPPT,60.0,60.0,0.92,210129
Xtra Power_PWM_12V_50A_213,Xtra Power,PWM,12.0,50.0,0.94,140979
Epever_PWM_36V_65A_214,Epever,PWM,36.0,65.0,0.93,114948
Epever_PWM_36V_20A_215,Epever,PWM,36.0,20.0,0.94,125895
Epever_PWM_48V_60A_216,Epever,PWM,48.0,60.0,0.93,84667
Techfine_MPPT_48V_20A_217,Techfine,MPPT,48.0,20.0,0.94,119198
Felicity_PWM_60V_40A_218,Felicity,PWM,60.0,40.0,0.94,23372
Xtra Power_MPPT_60V_35A_219,Xtra Power,MPPT,60.0,35.0,0.93,137298
Anern_MPPT_12V_60A_220,Anern,MPPT,12.0,60.0,0.93,113235
Souer_PWM_60V_60A_221,Souer,PWM,60.0,60.0,0.93,229853
Felicity_PWM_24V_70A_222,Felicity,PWM,24.0,70.0,0.94,40722
Techfine_PWM_24V_25A_223,Techfine,PWM,24.0,25.0,0.93,112178
Felicity_MPPT_36V_70A_224,Felicity,MPPT,36.0,70.0,0.94,29112
Must_PWM_24V_70A_225,Must,PWM,24.0,70.0,0.92,58449
Must_MPPT_36V_80A_226,Must,MPPT,36.0,80.0,0.94,58849
Techfine_MPPT_24V_15A_227,Techfine,MPPT,24.0,15.0,0.92,128010
Must_MPPT_100V_20A_228,Must,MPPT,100.0,20.0,0.92,38221
Anern_PWM_60V_75A_229,Anern,PWM,60.0,75.0,0.91,80024
Anern_PWM_24V_90A_230,Anern,PWM,24.0,90.0,0.93,149017
Epever_MPPT_150V_20A_231,Epever,MPPT,150.0,20.0,0.93,105772
Xtra Power_MPPT_100V_70A_232,Xtra Power,MPPT,100.0,70.0,0.92,115266
Anern_PWM_36V_20A_233,Anern,PWM,36.0,20.0,0.93,117474
Growatt_PWM_36V_40A_234,Growatt,PWM,36.0,40.0,0.91,20949
Felicity_PWM_60V_15A_235,Felicity,PWM,60.0,15.0,0.92,64399
SRNE_PWM_36V_100A_236,SRNE,PWM,36.0,100.0,0.93,79754
Techfine_PWM_60V_10A_237,Techfine,PWM,60.0,10.0,0.94,124610
Growatt_MPPT_36V_50A_238,Growatt,MPPT,36.0,50.0,0.92,41672
Anern_PWM_60V_55A_239,Anern,PWM,60.0,55.0,0.92,85799
Livoltek_MPPT_60V_65A_240,Livoltek,MPPT,60.0,65.0,0.92,197117
Livoltek_MPPT_24V_65A_241,Livoltek,MPPT,24.0,65.0,0.95,163569
Techfine_PWM_48V_85A_242,Techfine,PWM,48.0,85.0,0.93,102916
Felicity_PWM_48V_55A_243,Felicity,PWM,48.0,55.0,0.95,65833
Epever_PWM_48V_85A_244,Epever,PWM,48.0,85.0,0.95,106154
Morningstar_PWM_60V_30A_245,Morningstar,PWM,60.0,30.0,0.93,172100
Must_MPPT_48V_100A_246,Must,MPPT,48.0,100.0,0.94,39684
Techfine_PWM_48V_75A_247,Techfine,PWM,48.0,75.0,0.93,121690
Felicity_MPPT_12V_35A_248,Felicity,MPPT,12.0,35.0,0.91,36881
Anern_MPPT_60V_70A_249,Anern,MPPT,60.0,70.0,0.91,116853
Techfine_PWM_24V_60A_250,Techfine,PWM,24.0,60.0,0.92,126420
SRNE_MPPT_12V_75A_251,SRNE,MPPT,12.0,75.0,0.92,35881
Felicity_PWM_60V_50A_252,Felicity,PWM,60.0,50.0,0.91,31749
Must_MPPT_60V_15A_253,Must,MPPT,60.0,15.0,0.94,31868
Felicity_MPPT_24V_65A_254,Felicity,MPPT,24.0,65.0,0.92,44110
Xtra Power_MPPT_24V_95A_255,Xtra Power,MPPT,24.0,95.0,0.92,116681
Xtra Power_PWM_60V_90A_256,Xtra Power,PWM,60.0,90.0,0.95,141817
SRNE_MPPT_60V_70A_257,SRNE,MPPT,60.0,70.0,0.93,67615
Felicity_PWM_36V_80A_258,Felicity,PWM,36.0,80.0,0.95,28571
SRNE_PWM_48V_40A_259,SRNE,PWM,48.0,40.0,0.94,52535
Epever_PWM_24V_25A_260,Epever,PWM,24.0,25.0,0.94,104814
Epever_MPPT_12V_70A_261,Epever,MPPT,12.0,70.0,0.94,123557
SRNE_PWM_36V_15A_262,SRNE,PWM,36.0,15.0,0.92,20598
Morningstar_PWM_36V_40A_263,Morningstar,PWM,36.0,40.0,0.95,176947
SRNE_MPPT_24V_40A_264,SRNE,MPPT,24.0,40.0,0.92,71047
Xtra Power_PWM_48V_55A_265,Xtra Power,PWM,48.0,55.0,0.91,108231
Felicity_PWM_12V_85A_266,Felicity,PWM,12.0,85.0,0.92,30842
Morningstar_PWM_60V_90A_267,Morningstar,PWM,60.0,90.0,0.94,150060
Xtra Power_PWM_12V_30A_268,Xtra Power,PWM,12.0,30.0,0.94,88256
Livoltek_MPPT_48V_55A_269,Livoltek,MPPT,48.0,55.0,0.93,237816
Felicity_MPPT_100V_30A_270,Felicity,MPPT,100.0,30.0,0.95,56742
Felicity_PWM_36V_45A_271,Felicity,PWM,36.0,45.0,0.91,64639
Felicity_PWM_24V_50A_272,Felicity,PWM,24.0,50.0,0.93,64877
SRNE_PWM_24V_100A_273,SRNE,PWM,24.0,100.0,0.91,20875
Growatt_PWM_60V_90A_274,Growatt,PWM,60.0,90.0,0.94,49001
Techfine_PWM_36V_45A_275,Techfine,PWM,36.0,45.0,0.94,89761
Xtra Power_PWM_12V_65A_276,Xtra Power,PWM,12.0,65.0,0.92,92736
Must_PWM_36V_30A_277,Must,PWM,36.0,30.0,0.95,78083
Epever_PWM_12V_75A_278,Epever,PWM,12.0,75.0,0.94,136898
SRNE_PWM_12V_90A_279,SRNE,PWM,12.0,90.0,0.94,67616
Anern_PWM_24V_15A_280,Anern,PWM,24.0,15.0,0.91,101471
Anern_PWM_36V_50A_281,Anern,PWM,36.0,50.0,0.95,135128
Must_MPPT_150V_10A_282,Must,MPPT,150.0,10.0,0.92,63839
Epever_PWM_60V_80A_283,Epever,PWM,60.0,80.0,0.93,82134
Must_PWM_12V_90A_284,Must,PWM,12.0,90.0,0.93,46448
Souer_PWM_36V_55A_285,Souer,PWM,36.0,55.0,0.94,189440
SRNE_PWM_36V_25A_286,SRNE,PWM,36.0,25.0,0.95,42240
Must_MPPT_100V_45A_287,Must,MPPT,100.0,45.0,0.91,78046
Xtra Power_MPPT_24V_50A_288,Xtra Power,MPPT,24.0,50.0,0.94,89344
Techfine_MPPT_12V_30A_289,Techfine,MPPT,12.0,30.0,0.93,116676
SRNE_PWM_48V_10A_290,SRNE,PWM,48.0,10.0,0.93,78282
Anern_MPPT_60V_25A_291,Anern,MPPT,60.0,25.0,0.93,147037
Schneider Electric_PWM_12V_20A_292,Schneider Electric,PWM,12.0,20.0,0.95,194627
Techfine_PWM_60V_30A_293,Techfine,PWM,60.0,30.0,0.95,89335
Souer_MPPT_100V_65A_294,Souer,MPPT,100.0,65.0,0.92,173974
Epever_PWM_12V_85A_295,Epever,PWM,12.0,85.0,0.91,140292
Schneider Electric_PWM_48V_10A_296,Schneider Electric,PWM,48.0,10.0,0.93,217993
Epever_MPPT_100V_70A_297,Epever,MPPT,100.0,70.0,0.91,117540
Xtra Power_PWM_24V_75A_298,Xtra Power,PWM,24.0,75.0,0.93,105434
Morningstar_PWM_60V_65A_299,Morningstar,PWM,60.0,65.0,0.95,177513
Epever_PWM_48V_40A_300,Epever,PWM,48.0,40.0,0.94,118197
Morningstar_MPPT_12V_35A_301,Morningstar,MPPT,12.0,35.0,0.91,177717
Growatt_MPPT_150V_85A_302,Growatt,MPPT,150.0,85.0,0.93,57812
Techfine_PWM_12V_90A_303,Techfine,PWM,12.0,90.0,0.91,149299
Techfine_MPPT_12V_65A_304,Techfine,MPPT,12.0,65.0,0.94,103519
Techfine_PWM_12V_95A_305,Techfine,PWM,12.0,95.0,0.92,145341
Xtra Power_PWM_24V_80A_306,Xtra Power,PWM,24.0,80.0,0.92,101312
Epever_PWM_36V_75A_307,Epever,PWM,36.0,75.0,0.91,108107
Must_MPPT_150V_35A_308,Must,MPPT,150.0,35.0,0.92,74668
Morningstar_PWM_48V_70A_309,Morningstar,PWM,48.0,70.0,0.91,226529
Epever_PWM_24V_45A_310,Epever,PWM,24.0,45.0,0.94,140635
Must_PWM_48V_10A_311,Must,PWM,48.0,10.0,0.93,56019
Techfine_PWM_24V_40A_312,Techfine,PWM,24.0,40.0,0.91,115452
Schneider Electric_MPPT_12V_75A_313,Schneider Electric,MPPT,12.0,75.0,0.95,180328
Must_MPPT_150V_65A_314,Must,MPPT,150.0,65.0,0.93,28631
Schneider Electric_MPPT_100V_50A_315,Schneider Electric,MPPT,100.0,50.0,0.91,213296
Must_MPPT_100V_75A_316,Must,MPPT,100.0,75.0,0.92,29820
Felicity_MPPT_36V_90A_317,Felicity,MPPT,36.0,90.0,0.92,60816
Felicity_MPPT_100V_25A_318,Felicity,MPPT,100.0,25.0,0.92,27579
Anern_MPPT_12V_25A_319,Anern,MPPT,12.0,25.0,0.93,120752
Growatt_MPPT_60V_90A_320,Growatt,MPPT,60.0,90.0,0.93,68295
Epever_PWM_36V_90A_321,Epever,PWM,36.0,90.0,0.92,147566
Techfine_MPPT_24V_10A_322,Techfine,MPPT,24.0,10.0,0.93,112087
Techfine_PWM_60V_60A_323,Techfine,PWM,60.0,60.0,0.92,126681
Growatt_PWM_36V_35A_324,Growatt,PWM,36.0,35.0,0.92,58433
Souer_PWM_48V_25A_325,Souer,PWM,48.0,25.0,0.93,177423
Felicity_MPPT_48V_30A_326,Felicity,MPPT,48.0,30.0,0.94,23847
Techfine_MPPT_36V_70A_327,Techfine,MPPT,36.0,70.0,0.95,136118
Livoltek_MPPT_60V_50A_328,Livoltek,MPPT,60.0,50.0,0.92,175678
SRNE_PWM_60V_55A_329,SRNE,PWM,60.0,55.0,0.93,49887
Anern_PWM_60V_70A_330,Anern,PWM,60.0,70.0,0.91,112031
Felicity_PWM_24V_75A_331,Felicity,PWM,24.0,75.0,0.93,44716
