panel_id,brand,panel_type,rated_power_w,voltage,derating_factor,cabling_loss,safety_factor,length_m,width_m,area_m2,price_NGN
Must_120W_Half-Cut_28,Must,Half-Cut,120.0,24.0,0.8,0.04,0.09,1.21,0.52,0.63,20898
Prag_530W_Bifacial_29,Prag,Bifacial,530.0,48.0,0.81,0.06,0.11,2.01,1.0,2.01,83377
LONGi Solar_450W_Half-Cut_30,LONGi Solar,Half-Cut,450.0,36.0,0.8,0.04,0.1,1.88,1.0,1.88,164976
Auxano Solar_150W_Polycrystalline_31,Auxano Solar,Polycrystalline,150.0,36.0,0.78,0.04,0.11,1.24,0.61,0.76,38288
Must_550W_Bifacial_32,Must,Bifacial,550.0,24.0,0.8,0.06,0.11,2.03,1.0,2.03,135311
Felicity_340W_Half-Cut_33,Felicity,Half-Cut,340.0,48.0,0.82,0.05,0.12,1.67,0.94,1.57,84595
Canadian Solar_240W_Polycrystalline_34,Canadian Solar,Polycrystalline,240.0,48.0,0.79,0.06,0.1,1.59,0.85,1.35,101867
Auxano Solar_560W_Monocrystalline_35,Auxano Solar,Monocrystalline,560.0,48.0,0.81,0.05,0.09,2.01,1.0,2.01,126510
Jinko Solar_190W_Polycrystalline_36,Jinko Solar,Polycrystalline,190.0,36.0,0.79,0.06,0.09,1.59,0.96,1.53,58523
Mercury_450W_Bifacial_37,Mercury,Bifacial,450.0,48.0,0.78,0.05,0.11,1.91,0.99,1.89,85389
Trina Solar_540W_Bifacial_38,Trina Solar,Bifacial,540.0,24.0,0.82,0.04,0.1,2.04,1.0,2.04,129805
Must_110W_Monocrystalline_39,Must,Monocrystalline,110.0,12.0,0.81,0.04,0.08,1.1,0.54,0.59,15330
LONGi Solar_500W_Half-Cut_40,LONGi Solar,Half-Cut,500.0,24.0,0.79,0.04,0.1,2.05,1.0,2.05,210221
Auxano Solar_260W_Polycrystalline_41,Auxano Solar,Polycrystalline,260.0,12.0,0.8,0.04,0.08,1.68,0.94,1.58,90308
Prag_230W_Polycrystalline_42,Prag,Polycrystalline,230.0,12.0,0.8,0.05,0.09,1.51,0.87,1.31,42135
Jinko Solar_350W_Polycrystalline_43,Jinko Solar,Polycrystalline,350.0,36.0,0.81,0.05,0.09,1.7,0.98,1.67,80586
Mercury_570W_Monocrystalline_44,Mercury,Monocrystalline,570.0,36.0,0.81,0.05,0.09,2.02,1.0,2.02,120520
Must_370W_Monocrystalline_45,Must,Monocrystalline,370.0,36.0,0.81,0.05,0.08,1.88,0.99,1.86,78109
Trina Solar_100W_Half-Cut_46,Trina Solar,Half-Cut,100.0,48.0,0.79,0.05,0.11,1.06,0.7,0.74,34675
Trina Solar_210W_Bifacial_47,Trina Solar,Bifacial,210.0,24.0,0.79,0.05,0.12,1.53,0.93,1.42,64973
Trina Solar_480W_Polycrystalline_48,Trina Solar,Polycrystalline,480.0,12.0,0.82,0.06,0.09,2.01,1.0,2.01,116065
Renogy_260W_Half-Cut_49,Renogy,Half-Cut,260.0,48.0,0.8,0.04,0.1,1.62,0.91,1.47,82419
Vsun Solar_450W_Bifacial_50,Vsun Solar,Bifacial,450.0,36.0,0.79,0.04,0.09,1.74,1.0,1.74,122864
Prag_240W_Polycrystalline_51,Prag,Polycrystalline,240.0,24.0,0.8,0.06,0.11,1.58,0.85,1.34,59702
Suntech_260W_Bifacial_52,Suntech,Bifacial,260.0,36.0,0.79,0.04,0.1,1.68,0.99,1.66,88810
Prag_160W_Bifacial_53,Prag,Bifacial,160.0,12.0,0.8,0.04,0.08,1.57,0.97,1.52,23296
Prag_100W_Bifacial_54,Prag,Bifacial,100.0,36.0,0.81,0.04,0.08,1.07,0.55,0.59,16941
Must_540W_Polycrystalline_55,Must,Polycrystalline,540.0,36.0,0.82,0.05,0.08,2.01,1.0,2.01,105682
Jinko Solar_260W_Half-Cut_56,Jinko Solar,Half-Cut,260.0,48.0,0.8,0.05,0.11,1.61,0.96,1.55,63263
Auxano Solar_120W_Half-Cut_57,Auxano Solar,Half-Cut,120.0,12.0,0.79,0.05,0.09,1.04,0.67,0.7,33370
LONGi Solar_70W_Half-Cut_58,LONGi Solar,Half-Cut,70.0,36.0,0.8,0.05,0.09,1.27,0.68,0.86,29849
JA Solar_220W_Half-Cut_59,JA Solar,Half-Cut,220.0,12.0,0.82,0.06,0.11,1.56,0.81,1.26,87828
Auxano Solar_200W_Half-Cut_60,Auxano Solar,Half-Cut,200.0,48.0,0.79,0.04,0.11,1.59,0.99,1.57,69233
Trina Solar_190W_Monocrystalline_61,Trina Solar,Monocrystalline,190.0,12.0,0.81,0.05,0.1,1.52,0.97,1.47,56031
Suntech_350W_Half-Cut_62,Suntech,Half-Cut,350.0,12.0,0.78,0.05,0.09,1.62,0.99,1.6,135566
JA Solar_480W_Monocrystalline_63,JA Solar,Monocrystalline,480.0,12.0,0.8,0.05,0.12,2.01,1.0,2.01,182094
Prag_530W_Monocrystalline_64,Prag,Monocrystalline,530.0,24.0,0.81,0.05,0.11,2.02,1.0,2.02,94621
Auxano Solar_180W_Monocrystalline_65,Auxano Solar,Monocrystalline,180.0,48.0,0.8,0.04,0.11,1.56,0.98,1.53,62628
JA Solar_530W_Half-Cut_66,JA Solar,Half-Cut,530.0,36.0,0.82,0.06,0.1,2.0,1.0,2.0,203919
Must_500W_Half-Cut_67,Must,Half-Cut,500.0,24.0,0.8,0.05,0.1,2.01,1.0,2.01,80888
Prag_340W_Half-Cut_68,Prag,Half-Cut,340.0,24.0,0.8,0.05,0.08,1.66,0.96,1.59,47780
Jinko Solar_370W_Bifacial_69,Jinko Solar,Bifacial,370.0,12.0,0.81,0.05,0.09,1.77,1.0,1.77,89448
Trina Solar_360W_Half-Cut_70,Trina Solar,Half-Cut,360.0,24.0,0.79,0.05,0.11,1.9,1.0,1.9,92437
Renogy_290W_Half-Cut_71,Renogy,Half-Cut,290.0,12.0,0.8,0.05,0.12,1.62,0.91,1.47,98993
Jinko Solar_90W_Polycrystalline_72,Jinko Solar,Polycrystalline,90.0,48.0,0.79,0.06,0.12,1.06,0.69,0.73,30616
Jinko Solar_240W_Half-Cut_73,Jinko Solar,Half-Cut,240.0,24.0,0.79,0.06,0.09,1.51,0.99,1.49,63993
Sukam_370W_Polycrystalline_74,Sukam,Polycrystalline,370.0,48.0,0.8,0.06,0.11,1.88,0.99,1.86,57193
Sukam_590W_Monocrystalline_75,Sukam,Monocrystalline,590.0,48.0,0.79,0.05,0.11,2.04,1.0,2.04,126086
Prag_120W_Polycrystalline_76,Prag,Polycrystalline,120.0,36.0,0.81,0.05,0.1,1.15,0.66,0.76,23263
LONGi Solar_430W_Bifacial_77,LONGi Solar,Bifacial,430.0,24.0,0.8,0.04,0.08,1.71,1.0,1.71,188696
Sukam_440W_Polycrystalline_78,Sukam,Polycrystalline,440.0,24.0,0.78,0.06,0.11,1.92,1.0,1.92,69799
Vsun Solar_100W_Monocrystalline_79,Vsun Solar,Monocrystalline,100.0,24.0,0.79,0.04,0.1,1.3,0.5,0.65,28826
Must_90W_Bifacial_80,Must,Bifacial,90.0,36.0,0.82,0.06,0.08,1.25,0.53,0.66,13595
JA Solar_540W_Half-Cut_81,JA Solar,Half-Cut,540.0,36.0,0.82,0.04,0.12,2.04,1.0,2.04,214043
Prag_570W_Monocrystalline_82,Prag,Monocrystalline,570.0,48.0,0.8,0.04,0.12,2.04,1.0,2.04,89216
Jinko Solar_240W_Polycrystalline_83,Jinko Solar,Polycrystalline,240.0,48.0,0.79,0.05,0.12,1.54,0.87,1.34,57856
Sukam_440W_Half-Cut_84,Sukam,Half-Cut,440.0,36.0,0.81,0.05,0.11,1.88,0.99,1.86,60555
Prag_200W_Monocrystalline_85,Prag,Monocrystalline,200.0,24.0,0.8,0.04,0.12,1.53,0.88,1.35,42255
Prag_250W_Bifacial_86,Prag,Bifacial,250.0,24.0,0.8,0.04,0.09,1.6,0.94,1.5,50008
Must_160W_Half-Cut_87,Must,Half-Cut,160.0,48.0,0.82,0.04,0.1,1.56,0.97,1.51,38856
Prag_200W_Polycrystalline_88,Prag,Polycrystalline,200.0,48.0,0.8,0.04,0.1,1.56,0.95,1.48,38675
Jinko Solar_170W_Bifacial_89,Jinko Solar,Bifacial,170.0,36.0,0.81,0.06,0.09,1.55,0.95,1.47,44539
Sukam_410W_Bifacial_90,Sukam,Bifacial,410.0,12.0,0.8,0.05,0.09,1.77,1.0,1.77,61567
Felicity_530W_Monocrystalline_91,Felicity,Monocrystalline,530.0,12.0,0.78,0.04,0.11,2.04,1.0,2.04,111016
LONGi Solar_490W_Polycrystalline_92,LONGi Solar,Polycrystalline,490.0,48.0,0.81,0.06,0.1,2.05,1.0,2.05,179951
Vsun Solar_380W_Half-Cut_93,Vsun Solar,Half-Cut,380.0,12.0,0.81,0.05,0.1,1.75,1.0,1.75,109782
LONGi Solar_590W_Half-Cut_94,LONGi Solar,Half-Cut,590.0,36.0,0.81,0.04,0.11,2.0,1.0,2.0,199850
Sukam_220W_Half-Cut_95,Sukam,Half-Cut,220.0,48.0,0.79,0.06,0.09,1.51,0.9,1.36,31562
Vsun Solar_220W_Half-Cut_96,Vsun Solar,Half-Cut,220.0,24.0,0.81,0.05,0.11,1.6,0.96,1.54,63544
Jinko Solar_90W_Monocrystalline_97,Jinko Solar,Monocrystalline,90.0,48.0,0.8,0.05,0.1,1.23,0.67,0.82,29094
Sukam_400W_Half-Cut_98,Sukam,Half-Cut,400.0,36.0,0.78,0.04,0.08,1.87,1.0,1.87,57153
Jinko Solar_130W_Half-Cut_99,Jinko Solar,Half-Cut,130.0,24.0,0.78,0.05,0.12,1.1,0.54,0.59,38810
LONGi Solar_570W_Monocrystalline_100,LONGi Solar,Monocrystalline,570.0,48.0,0.8,0.05,0.09,2.03,1.0,2.03,251509
Must_320W_Half-Cut_101,Must,Half-Cut,320.0,12.0,0.8,0.04,0.12,1.68,0.91,1.53,57361
Prag_400W_Monocrystalline_102,Prag,Monocrystalline,400.0,12.0,0.8,0.05,0.09,1.83,1.0,1.83,86386
Auxano Solar_600W_Bifacial_103,Auxano Solar,Bifacial,600.0,36.0,0.79,0.05,0.12,2.03,1.0,2.03,190383
LONGi Solar_120W_Polycrystalline_104,LONGi Solar,Polycrystalline,120.0,48.0,0.81,0.06,0.1,1.07,0.54,0.58,46454
LONGi Solar_300W_Polycrystalline_105,LONGi Solar,Polycrystalline,300.0,12.0,0.81,0.04,0.12,1.6,0.98,1.57,117993
Jinko Solar_250W_Polycrystalline_106,Jinko Solar,Polycrystalline,250.0,36.0,0.81,0.04,0.1,1.56,0.93,1.45,64331
Renogy_150W_Monocrystalline_107,Renogy,Monocrystalline,150.0,48.0,0.8,0.04,0.11,1.2,0.52,0.62,62938
Felicity_590W_Bifacial_108,Felicity,Bifacial,590.0,12.0,0.79,0.05,0.1,2.0,1.0,2.0,99911
Mercury_490W_Monocrystalline_109,Mercury,Monocrystalline,490.0,48.0,0.78,0.04,0.09,2.05,1.0,2.05,69056
Jinko Solar_530W_Polycrystalline_110,Jinko Solar,Polycrystalline,530.0,48.0,0.78,0.05,0.1,2.04,1.0,2.04,158545
Auxano Solar_450W_Polycrystalline_111,Auxano Solar,Polycrystalline,450.0,36.0,0.81,0.05,0.08,1.84,1.0,1.84,134105
Jinko Solar_120W_Bifacial_112,Jinko Solar,Bifacial,120.0,12.0,0.8,0.05,0.1,1.21,0.54,0.65,29095
Felicity_180W_Polycrystalline_113,Felicity,Polycrystalline,180.0,12.0,0.78,0.05,0.11,1.53,0.83,1.27,26018
Sukam_290W_Polycrystalline_114,Sukam,Polycrystalline,290.0,36.0,0.81,0.05,0.12,1.64,0.92,1.51,41087
Auxano Solar_290W_Monocrystalline_115,Auxano Solar,Monocrystalline,290.0,48.0,0.8,0.05,0.1,1.62,0.95,1.54,89169
Prag_150W_Monocrystalline_116,Prag,Monocrystalline,150.0,12.0,0.78,0.04,0.09,1.23,0.57,0.7,36342
Trina Solar_330W_Bifacial_117,Trina Solar,Bifacial,330.0,48.0,0.79,0.04,0.11,1.62,0.93,1.51,74328
Mercury_210W_Monocrystalline_118,Mercury,Monocrystalline,210.0,48.0,0.82,0.04,0.1,1.59,0.84,1.34,35599
JA Solar_440W_Polycrystalline_119,JA Solar,Polycrystalline,440.0,48.0,0.8,0.04,0.11,1.79,1.0,1.79,162135
Prag_190W_Bifacial_120,Prag,Bifacial,190.0,24.0,0.78,0.05,0.12,1.59,0.9,1.43,34642
Trina Solar_80W_Bifacial_121,Trina Solar,Bifacial,80.0,48.0,0.79,0.05,0.11,1.08,0.65,0.7,27391
Felicity_290W_Bifacial_122,Felicity,Bifacial,290.0,12.0,0.8,0.04,0.09,1.65,1.0,1.65,47153
LONGi Solar_590W_Polycrystalline_123,LONGi Solar,Polycrystalline,590.0,48.0,0.81,0.05,0.11,2.02,1.0,2.02,230833
Mercury_100W_Polycrystalline_124,Mercury,Polycrystalline,100.0,12.0,0.79,0.05,0.12,1.07,0.52,0.56,19155
Auxano Solar_100W_Polycrystalline_125,Auxano Solar,Polycrystalline,100.0,24.0,0.78,0.04,0.08,1.05,0.68,0.71,34683
Mercury_180W_Polycrystalline_126,Mercury,Polycrystalline,180.0,36.0,0.79,0.05,0.1,1.56,0.87,1.36,28087
Must_370W_Half-Cut_127,Must,Half-Cut,370.0,24.0,0.79,0.05,0.09,1.76,0.99,1.74,52320
Vsun Solar_420W_Half-Cut_128,Vsun Solar,Half-Cut,420.0,36.0,0.81,0.06,0.08,1.93,1.0,1.93,106014
Prag_440W_Polycrystalline_129,Prag,Polycrystalline,440.0,24.0,0.8,0.04,0.09,1.84,1.0,1.84,100604
Prag_150W_Polycrystalline_130,Prag,Polycrystalline,150.0,12.0,0.79,0.05,0.08,1.12,0.53,0.59,22653
Canadian Solar_120W_Polycrystalline_131,Canadian Solar,Polycrystalline,120.0,24.0,0.81,0.06,0.12,1.17,0.69,0.81,50170
Trina Solar_290W_Monocrystalline_132,Trina Solar,Monocrystalline,290.0,24.0,0.78,0.06,0.1,1.68,0.93,1.56,87129
Felicity_130W_Bifacial_133,Felicity,Bifacial,130.0,24.0,0.81,0.04,0.11,1.24,0.69,0.86,31472
Vsun Solar_60W_Polycrystalline_134,Vsun Solar,Polycrystalline,60.0,36.0,0.78,0.05,0.12,1.16,0.59,0.68,17824
Sukam_490W_Bifacial_135,Sukam,Bifacial,490.0,24.0,0.81,0.05,0.11,2.05,1.0,2.05,87681
Auxano Solar_80W_Bifacial_136,Auxano Solar,Bifacial,80.0,12.0,0.8,0.05,0.09,1.26,0.55,0.69,23386
Prag_590W_Polycrystalline_137,Prag,Polycrystalline,590.0,12.0,0.8,0.05,0.09,2.05,1.0,2.05,132307
Jinko Solar_310W_Monocrystalline_138,Jinko Solar,Monocrystalline,310.0,48.0,0.8,0.06,0.08,1.63,0.9,1.47,98241
Sukam_70W_Monocrystalline_139,Sukam,Monocrystalline,70.0,12.0,0.8,0.05,0.09,1.18,0.6,0.71,12197
Renogy_380W_Polycrystalline_140,Renogy,Polycrystalline,380.0,48.0,0.81,0.05,0.08,1.92,0.99,1.9,155284
LONGi Solar_290W_Bifacial_141,LONGi Solar,Bifacial,290.0,12.0,0.82,0.05,0.08,1.61,0.99,1.59,120200
Prag_600W_Bifacial_142,Prag,Bifacial,600.0,48.0,0.81,0.05,0.11,2.03,1.0,2.03,127635
Vsun Solar_260W_Bifacial_143,Vsun Solar,Bifacial,260.0,48.0,0.81,0.05,0.09,1.61,1.0,1.61,79575
Mercury_420W_Monocrystalline_144,Mercury,Monocrystalline,420.0,36.0,0.81,0.06,0.09,1.91,1.0,1.91,102516
Trina Solar_240W_Half-Cut_145,Trina Solar,Half-Cut,240.0,36.0,0.79,0.06,0.08,1.54,0.89,1.37,60074
Trina Solar_430W_Monocrystalline_146,Trina Solar,Monocrystalline,430.0,48.0,0.8,0.05,0.09,1.88,1.0,1.88,133782
Suntech_370W_Polycrystalline_147,Suntech,Polycrystalline,370.0,12.0,0.8,0.05,0.09,1.8,0.99,1.78,130061
Renogy_530W_Bifacial_148,Renogy,Bifacial,530.0,36.0,0.79,0.06,0.09,2.02,1.0,2.02,227986
Must_170W_Bifacial_149,Must,Bifacial,170.0,24.0,0.79,0.06,0.09,1.5,0.81,1.22,33189
Auxano Solar_390W_Bifacial_150,Auxano Solar,Bifacial,390.0,24.0,0.8,0.05,0.11,1.74,0.99,1.72,120446
Must_470W_Bifacial_151,Must,Bifacial,470.0,24.0,0.8,0.04,0.12,2.03,1.0,2.03,68824
Sukam_350W_Polycrystalline_152,Sukam,Polycrystalline,350.0,36.0,0.8,0.05,0.11,1.63,0.9,1.47,86251
Renogy_190W_Polycrystalline_153,Renogy,Polycrystalline,190.0,24.0,0.81,0.05,0.09,1.56,0.9,1.4,67316
Suntech_430W_Half-Cut_154,Suntech,Half-Cut,430.0,36.0,0.82,0.05,0.1,1.87,1.0,1.87,161064
JA Solar_600W_Monocrystalline_155,JA Solar,Monocrystalline,600.0,48.0,0.81,0.05,0.1,2.04,1.0,2.04,203915
LONGi Solar_500W_Monocrystalline_156,LONGi Solar,Monocrystalline,500.0,48.0,0.82,0.05,0.09,2.03,1.0,2.03,187787
Jinko Solar_460W_Bifacial_157,Jinko Solar,Bifacial,460.0,12.0,0.82,0.05,0.09,2.04,1.0,2.04,113491
Felicity_170W_Bifacial_158,Felicity,Bifacial,170.0,36.0,0.8,0.05,0.1,1.55,0.9,1.4,34584
Felicity_500W_Polycrystalline_159,Felicity,Polycrystalline,500.0,12.0,0.8,0.05,0.11,2.04,1.0,2.04,103969
Must_330W_Polycrystalline_160,Must,Polycrystalline,330.0,48.0,0.81,0.06,0.1,1.62,0.92,1.49,81763
Must_590W_Bifacial_161,Must,Bifacial,590.0,12.0,0.81,0.05,0.12,2.01,1.0,2.01,106029
Felicity_150W_Monocrystalline_162,Felicity,Monocrystalline,150.0,36.0,0.81,0.05,0.08,1.16,0.58,0.67,28324
Auxano Solar_210W_Polycrystalline_163,Auxano Solar,Polycrystalline,210.0,24.0,0.82,0.04,0.08,1.5,0.88,1.32,55096
Prag_420W_Monocrystalline_164,Prag,Monocrystalline,420.0,12.0,0.82,0.06,0.09,1.86,0.99,1.84,79909
Auxano Solar_500W_Bifacial_165,Auxano Solar,Bifacial,500.0,36.0,0.8,0.06,0.1,2.01,1.0,2.01,149660
Prag_290W_Polycrystalline_166,Prag,Polycrystalline,290.0,48.0,0.8,0.06,0.09,1.68,0.93,1.56,65724
Mercury_390W_Monocrystalline_167,Mercury,Monocrystalline,390.0,12.0,0.79,0.05,0.11,1.8,0.99,1.78,62203
Jinko Solar_190W_Monocrystalline_168,Jinko Solar,Monocrystalline,190.0,48.0,0.81,0.06,0.12,1.52,0.93,1.41,62878
Suntech_480W_Bifacial_169,Suntech,Bifacial,480.0,24.0,0.82,0.06,0.12,2.05,1.0,2.05,176585
Jinko Solar_270W_Half-Cut_170,Jinko Solar,Half-Cut,270.0,36.0,0.81,0.05,0.11,1.69,0.99,1.67,81295
Mercury_500W_Half-Cut_171,Mercury,Half-Cut,500.0,48.0,0.82,0.04,0.11,2.03,1.0,2.03,101751
Prag_170W_Half-Cut_172,Prag,Half-Cut,170.0,48.0,0.79,0.04,0.1,1.52,0.81,1.23,41808
LONGi Solar_380W_Bifacial_173,LONGi Solar,Bifacial,380.0,24.0,0.81,0.05,0.09,1.77,1.0,1.77,155186
Must_380W_Polycrystalline_174,Must,Polycrystalline,380.0,12.0,0.79,0.04,0.12,1.86,1.0,1.86,94764
Sukam_410W_Monocrystalline_175,Sukam,Monocrystalline,410.0,24.0,0.82,0.06,0.1,1.93,1.0,1.93,70372
Vsun Solar_210W_Polycrystalline_176,Vsun Solar,Polycrystalline,210.0,48.0,0.82,0.05,0.12,1.56,0.99,1.54,51459
Vsun Solar_590W_Polycrystalline_177,Vsun Solar,Polycrystalline,590.0,24.0,0.79,0.05,0.09,2.01,1.0,2.01,191552
Trina Solar_350W_Monocrystalline_178,Trina Solar,Monocrystalline,350.0,12.0,0.79,0.05,0.1,1.63,0.92,1.5,113793
Felicity_530W_Polycrystalline_179,Felicity,Polycrystalline,530.0,24.0,0.81,0.06,0.08,2.05,1.0,2.05,74526
Must_80W_Half-Cut_180,Must,Half-Cut,80.0,36.0,0.78,0.06,0.11,1.04,0.54,0.56,16660
Prag_320W_Polycrystalline_181,Prag,Polycrystalline,320.0,36.0,0.79,0.06,0.11,1.69,0.99,1.67,56374
Jinko Solar_450W_Polycrystalline_182,Jinko Solar,Polycrystalline,450.0,24.0,0.82,0.06,0.1,1.76,1.0,1.76,120288
Jinko Solar_150W_Polycrystalline_183,Jinko Solar,Polycrystalline,150.0,48.0,0.79,0.04,0.09,1.22,0.65,0.79,38107
Must_580W_Monocrystalline_184,Must,Monocrystalline,580.0,12.0,0.78,0.05,0.09,2.05,1.0,2.05,90762
Mercury_580W_Polycrystalline_185,Mercury,Polycrystalline,580.0,36.0,0.81,0.04,0.09,2.02,1.0,2.02,124778
Mercury_470W_Half-Cut_186,Mercury,Half-Cut,470.0,12.0,0.82,0.06,0.09,2.02,1.0,2.02,98381
JA Solar_350W_Polycrystalline_187,JA Solar,Polycrystalline,350.0,24.0,0.8,0.04,0.08,1.68,0.99,1.66,153607
Canadian Solar_580W_Monocrystalline_188,Canadian Solar,Monocrystalline,580.0,48.0,0.81,0.05,0.1,2.03,1.0,2.03,239915
Mercury_600W_Monocrystalline_189,Mercury,Monocrystalline,600.0,48.0,0.81,0.06,0.11,2.03,1.0,2.03,102729
Auxano Solar_420W_Polycrystalline_190,Auxano Solar,Polycrystalline,420.0,24.0,0.81,0.04,0.09,1.72,0.99,1.7,135565
Trina Solar_150W_Half-Cut_191,Trina Solar,Half-Cut,150.0,36.0,0.8,0.05,0.11,1.14,0.65,0.74,50389
Trina Solar_190W_Bifacial_192,Trina Solar,Bifacial,190.0,24.0,0.8,0.05,0.11,1.58,1.0,1.58,62380
Renogy_600W_Half-Cut_193,Renogy,Half-Cut,600.0,48.0,0.82,0.06,0.11,2.01,1.0,2.01,220697
Prag_340W_Monocrystalline_194,Prag,Monocrystalline,340.0,12.0,0.8,0.05,0.08,1.61,0.91,1.47,53458
Felicity_370W_Polycrystalline_195,Felicity,Polycrystalline,370.0,12.0,0.79,0.04,0.1,1.76,1.0,1.76,85989
Trina Solar_470W_Polycrystalline_196,Trina Solar,Polycrystalline,470.0,12.0,0.81,0.06,0.08,2.0,1.0,2.0,106604
Renogy_540W_Half-Cut_197,Renogy,Half-Cut,540.0,36.0,0.8,0.06,0.12,2.03,1.0,2.03,186986
Trina Solar_60W_Monocrystalline_198,Trina Solar,Monocrystalline,60.0,24.0,0.78,0.04,0.09,1.15,0.5,0.57,18237
Felicity_390W_Monocrystalline_199,Felicity,Monocrystalline,390.0,24.0,0.81,0.06,0.09,1.9,1.0,1.9,89267
Trina Solar_170W_Bifacial_200,Trina Solar,Bifacial,170.0,24.0,0.8,0.04,0.11,1.58,0.92,1.45,44612
Mercury_290W_Bifacial_201,Mercury,Bifacial,290.0,12.0,0.82,0.06,0.09,1.66,0.97,1.61,54567
Mercury_50W_Half-Cut_202,Mercury,Half-Cut,50.0,48.0,0.78,0.04,0.11,1.05,0.57,0.6,9986
Sukam_150W_Bifacial_203,Sukam,Bifacial,150.0,48.0,0.81,0.06,0.11,1.01,0.59,0.6,28194
Jinko Solar_440W_Half-Cut_204,Jinko Solar,Half-Cut,440.0,12.0,0.8,0.05,0.12,1.77,1.0,1.77,108833
Felicity_420W_Half-Cut_205,Felicity,Half-Cut,420.0,48.0,0.81,0.05,0.09,1.76,0.99,1.74,82131
Trina Solar_520W_Monocrystalline_206,Trina Solar,Monocrystalline,520.0,12.0,0.8,0.05,0.08,2.0,1.0,2.0,176579
Prag_90W_Half-Cut_207,Prag,Half-Cut,90.0,24.0,0.81,0.04,0.11,1.11,0.5,0.56,17143
